aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,worm_ID,worm_area
290,0.879,38.333,8.185,30,50,33.691,345,N2,L4+14,mannitol,M3_N2_D3,78159.668
291,4.395,40.356,11.215,30,66,177.344,1816,N2,L4+14,mannitol,M3_N2_D3,78159.668
292,0.195,50.5,12.021,42,59,9.863,101,N2,L4+14,mannitol,M3_N2_D3,78159.668
293,0.293,31.333,1.528,30,33,9.18,94,N2,L4+14,mannitol,M3_N2_D3,78159.668
294,0.293,31.667,1.528,30,33,9.277,95,N2,L4+14,mannitol,M3_N2_D3,78159.668
295,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
296,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
297,0.293,35,3.606,31,38,10.254,105,N2,L4+14,mannitol,M3_N2_D3,78159.668
298,0.391,35.75,2.986,32,39,13.965,143,N2,L4+14,mannitol,M3_N2_D3,78159.668
299,0.293,36.667,5.508,31,42,10.742,110,N2,L4+14,mannitol,M3_N2_D3,78159.668
300,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
301,0.488,51.4,15.076,34,65,25.098,257,N2,L4+14,mannitol,M3_N2_D3,78159.668
302,0.098,34,0,34,34,3.32,34,N2,L4+14,mannitol,M3_N2_D3,78159.668
303,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
304,0.098,58,0,58,58,5.664,58,N2,L4+14,mannitol,M3_N2_D3,78159.668
305,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
306,0.293,32.333,2.082,30,34,9.473,97,N2,L4+14,mannitol,M3_N2_D3,78159.668
307,0.098,37,0,37,37,3.613,37,N2,L4+14,mannitol,M3_N2_D3,78159.668
308,0.977,39.5,10.179,31,64,38.574,395,N2,L4+14,mannitol,M3_N2_D3,78159.668
309,0.586,53,13.1,32,66,31.055,318,N2,L4+14,mannitol,M3_N2_D3,78159.668
310,0.098,44,0,44,44,4.297,44,N2,L4+14,mannitol,M3_N2_D3,78159.668
311,0.098,59,0,59,59,5.762,59,N2,L4+14,mannitol,M3_N2_D3,78159.668
312,0.391,40,10.677,31,55,15.625,160,N2,L4+14,mannitol,M3_N2_D3,78159.668
313,0.293,45,15.524,30,61,13.184,135,N2,L4+14,mannitol,M3_N2_D3,78159.668
314,0.098,62,0,62,62,6.055,62,N2,L4+14,mannitol,M3_N2_D3,78159.668
315,0.488,50.2,11.946,32,65,24.512,251,N2,L4+14,mannitol,M3_N2_D3,78159.668
316,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
317,0.391,46.75,12.01,33,61,18.262,187,N2,L4+14,mannitol,M3_N2_D3,78159.668
318,0.391,41.25,5.188,38,49,16.113,165,N2,L4+14,mannitol,M3_N2_D3,78159.668
319,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
320,0.195,43.5,4.95,40,47,8.496,87,N2,L4+14,mannitol,M3_N2_D3,78159.668
321,0.488,45.6,13.446,33,63,22.266,228,N2,L4+14,mannitol,M3_N2_D3,78159.668
322,0.195,45.5,17.678,33,58,8.887,91,N2,L4+14,mannitol,M3_N2_D3,78159.668
323,0.195,40.5,2.121,39,42,7.91,81,N2,L4+14,mannitol,M3_N2_D3,78159.668
324,0.684,46,12.543,35,61,31.445,322,N2,L4+14,mannitol,M3_N2_D3,78159.668
325,0.391,52.25,7.455,46,63,20.41,209,N2,L4+14,mannitol,M3_N2_D3,78159.668
326,0.098,42,0,42,42,4.102,42,N2,L4+14,mannitol,M3_N2_D3,78159.668
327,0.098,39,0,39,39,3.809,39,N2,L4+14,mannitol,M3_N2_D3,78159.668
328,0.684,37.143,9.335,31,57,25.391,260,N2,L4+14,mannitol,M3_N2_D3,78159.668
329,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
330,0.098,33,0,33,33,3.223,33,N2,L4+14,mannitol,M3_N2_D3,78159.668
331,0.098,43,0,43,43,4.199,43,N2,L4+14,mannitol,M3_N2_D3,78159.668
332,0.195,43.5,4.95,40,47,8.496,87,N2,L4+14,mannitol,M3_N2_D3,78159.668
333,0.293,47,13,32,55,13.77,141,N2,L4+14,mannitol,M3_N2_D3,78159.668
334,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
335,0.586,33,2.098,30,35,19.336,198,N2,L4+14,mannitol,M3_N2_D3,78159.668
336,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
337,0.195,32,2.828,30,34,6.25,64,N2,L4+14,mannitol,M3_N2_D3,78159.668
338,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
339,0.293,52.333,14.844,36,65,15.332,157,N2,L4+14,mannitol,M3_N2_D3,78159.668
340,2.051,35.81,6.218,30,52,73.438,752,N2,L4+14,mannitol,M3_N2_D3,78159.668
341,0.195,33.5,4.95,30,37,6.543,67,N2,L4+14,mannitol,M3_N2_D3,78159.668
342,0.195,38.5,9.192,32,45,7.52,77,N2,L4+14,mannitol,M3_N2_D3,78159.668
343,0.098,39,0,39,39,3.809,39,N2,L4+14,mannitol,M3_N2_D3,78159.668
344,0.781,48.375,9.812,34,62,37.793,387,N2,L4+14,mannitol,M3_N2_D3,78159.668
345,0.684,45.571,10.438,32,60,31.152,319,N2,L4+14,mannitol,M3_N2_D3,78159.668
346,0.098,49,0,49,49,4.785,49,N2,L4+14,mannitol,M3_N2_D3,78159.668
347,0.098,40,0,40,40,3.906,40,N2,L4+14,mannitol,M3_N2_D3,78159.668
348,0.293,37,3.464,33,39,10.84,111,N2,L4+14,mannitol,M3_N2_D3,78159.668
349,0.586,51.167,10.926,35,62,29.98,307,N2,L4+14,mannitol,M3_N2_D3,78159.668
350,0.098,53,0,53,53,5.176,53,N2,L4+14,mannitol,M3_N2_D3,78159.668
351,0.098,32,0,32,32,3.125,32,N2,L4+14,mannitol,M3_N2_D3,78159.668
352,0.098,62,0,62,62,6.055,62,N2,L4+14,mannitol,M3_N2_D3,78159.668
353,0.586,49.333,10.309,33,63,28.906,296,N2,L4+14,mannitol,M3_N2_D3,78159.668
354,0.586,49.833,10.629,38,63,29.199,299,N2,L4+14,mannitol,M3_N2_D3,78159.668
355,0.391,33.75,4.113,30,39,13.184,135,N2,L4+14,mannitol,M3_N2_D3,78159.668
356,0.098,34,0,34,34,3.32,34,N2,L4+14,mannitol,M3_N2_D3,78159.668
357,0.098,31,0,31,31,3.027,31,N2,L4+14,mannitol,M3_N2_D3,78159.668
358,0.488,50,13.058,34,64,24.414,250,N2,L4+14,mannitol,M3_N2_D3,78159.668
359,0.293,44.333,13.577,30,57,12.988,133,N2,L4+14,mannitol,M3_N2_D3,78159.668
360,0.684,46.143,10.123,33,63,31.543,323,N2,L4+14,mannitol,M3_N2_D3,78159.668
361,0.195,37,0,37,37,7.227,74,N2,L4+14,mannitol,M3_N2_D3,78159.668
362,1.465,44.4,13.163,30,64,65.039,666,N2,L4+14,mannitol,M3_N2_D3,78159.668
363,0.195,38,5.657,34,42,7.422,76,N2,L4+14,mannitol,M3_N2_D3,78159.668
364,0.098,30,0,30,30,2.93,30,N2,L4+14,mannitol,M3_N2_D3,78159.668
365,0.195,34,2.828,32,36,6.641,68,N2,L4+14,mannitol,M3_N2_D3,78159.668
