aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,30,0,30,30,2.93,30,N1,L4+1,control,C3_N1_D1,37176.562
2,0.098,30,0,30,30,2.93,30,N1,L4+2,control,C3_N1_D1,37176.562
3,0.879,31.333,1,30,33,27.539,282,N1,L4+3,control,C3_N1_D1,37176.562
4,0.098,30,0,30,30,2.93,30,N1,L4+4,control,C3_N1_D1,37176.562
5,0.586,31,2,30,35,18.164,186,N1,L4+5,control,C3_N1_D1,37176.562
6,0.098,30,0,30,30,2.93,30,N1,L4+6,control,C3_N1_D1,37176.562
7,0.098,31,0,31,31,3.027,31,N1,L4+7,control,C3_N1_D1,37176.562
8,0.195,33.5,3.536,31,36,6.543,67,N1,L4+8,control,C3_N1_D1,37176.562
9,0.879,40.889,6.153,33,51,35.938,368,N1,L4+9,control,C3_N1_D1,37176.562
10,0.977,34.9,4.701,30,44,34.082,349,N1,L4+10,control,C3_N1_D1,37176.562
11,0.098,33,0,33,33,3.223,33,N1,L4+11,control,C3_N1_D1,37176.562
12,0.098,32,0,32,32,3.125,32,N1,L4+12,control,C3_N1_D1,37176.562
13,0.098,30,0,30,30,2.93,30,N1,L4+13,control,C3_N1_D1,37176.562
14,0.488,30.8,0.837,30,32,15.039,154,N1,L4+14,control,C3_N1_D1,37176.562
15,0.098,33,0,33,33,3.223,33,N1,L4+15,control,C3_N1_D1,37176.562
16,0.684,32,3,30,38,21.875,224,N1,L4+16,control,C3_N1_D1,37176.562
17,0.195,32.5,2.121,31,34,6.348,65,N1,L4+17,control,C3_N1_D1,37176.562
18,0.977,36,3.3,30,40,35.156,360,N1,L4+18,control,C3_N1_D1,37176.562
19,0.195,30.5,0.707,30,31,5.957,61,N1,L4+19,control,C3_N1_D1,37176.562
20,0.391,31.5,1.291,30,33,12.305,126,N1,L4+20,control,C3_N1_D1,37176.562
21,0.098,30,0,30,30,2.93,30,N1,L4+21,control,C3_N1_D1,37176.562
22,0.586,32.667,2.805,30,36,19.141,196,N1,L4+22,control,C3_N1_D1,37176.562
