aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,39,0,39,39,3.809,39,N3,L4+7,control,C3_N3_D2,63276.758
2,0.879,46,11.113,30,61,40.43,414,N3,L4+7,control,C3_N3_D2,63276.758
3,0.195,38.5,9.192,32,45,7.52,77,N3,L4+7,control,C3_N3_D2,63276.758
4,0.098,38,0,38,38,3.711,38,N3,L4+7,control,C3_N3_D2,63276.758
5,0.293,41,7.211,33,47,12.012,123,N3,L4+7,control,C3_N3_D2,63276.758
6,0.293,53,15.588,35,62,15.527,159,N3,L4+7,control,C3_N3_D2,63276.758
7,0.293,43.667,11.719,35,57,12.793,131,N3,L4+7,control,C3_N3_D2,63276.758
8,0.098,42,0,42,42,4.102,42,N3,L4+7,control,C3_N3_D2,63276.758
9,0.684,47.286,9.376,34,61,32.324,331,N3,L4+7,control,C3_N3_D2,63276.758
10,0.098,52,0,52,52,5.078,52,N3,L4+7,control,C3_N3_D2,63276.758
11,0.586,46.667,8.641,39,63,27.344,280,N3,L4+7,control,C3_N3_D2,63276.758
12,0.586,46.5,5.282,41,53,27.246,279,N3,L4+7,control,C3_N3_D2,63276.758
13,0.098,41,0,41,41,4.004,41,N3,L4+7,control,C3_N3_D2,63276.758
14,0.195,45,8.485,39,51,8.789,90,N3,L4+7,control,C3_N3_D2,63276.758
15,0.293,56,13.229,41,66,16.406,168,N3,L4+7,control,C3_N3_D2,63276.758
16,0.098,34,0,34,34,3.32,34,N3,L4+7,control,C3_N3_D2,63276.758
17,0.098,36,0,36,36,3.516,36,N3,L4+7,control,C3_N3_D2,63276.758
18,0.195,42.5,10.607,35,50,8.301,85,N3,L4+7,control,C3_N3_D2,63276.758
19,0.977,34.8,4.614,31,44,33.984,348,N3,L4+7,control,C3_N3_D2,63276.758
20,0.586,57.5,4.416,53,65,33.691,345,N3,L4+7,control,C3_N3_D2,63276.758
21,0.098,33,0,33,33,3.223,33,N3,L4+7,control,C3_N3_D2,63276.758
22,0.098,48,0,48,48,4.688,48,N3,L4+7,control,C3_N3_D2,63276.758
23,0.195,41,15.556,30,52,8.008,82,N3,L4+7,control,C3_N3_D2,63276.758
24,0.195,42.5,4.95,39,46,8.301,85,N3,L4+7,control,C3_N3_D2,63276.758
25,3.809,47.179,11.585,30,65,179.688,1840,N3,L4+7,control,C3_N3_D2,63276.758
26,0.684,37.143,6.466,32,51,25.391,260,N3,L4+7,control,C3_N3_D2,63276.758
27,1.074,46.909,11.903,30,64,50.391,516,N3,L4+7,control,C3_N3_D2,63276.758
28,0.586,52.667,10.172,41,66,30.859,316,N3,L4+7,control,C3_N3_D2,63276.758
29,0.098,30,0,30,30,2.93,30,N3,L4+7,control,C3_N3_D2,63276.758
30,0.098,63,0,63,63,6.152,63,N3,L4+7,control,C3_N3_D2,63276.758
31,0.488,42.4,10.213,31,58,20.703,212,N3,L4+7,control,C3_N3_D2,63276.758
32,0.586,41.833,7.885,33,55,24.512,251,N3,L4+7,control,C3_N3_D2,63276.758
33,0.098,36,0,36,36,3.516,36,N3,L4+7,control,C3_N3_D2,63276.758
34,0.098,39,0,39,39,3.809,39,N3,L4+7,control,C3_N3_D2,63276.758
35,0.195,46.5,12.021,38,55,9.082,93,N3,L4+7,control,C3_N3_D2,63276.758
36,0.586,49.5,8.643,42,63,29.004,297,N3,L4+7,control,C3_N3_D2,63276.758
37,0.098,42,0,42,42,4.102,42,N3,L4+7,control,C3_N3_D2,63276.758
38,0.684,46.143,12.694,36,65,31.543,323,N3,L4+7,control,C3_N3_D2,63276.758
39,0.098,56,0,56,56,5.469,56,N3,L4+7,control,C3_N3_D2,63276.758
40,0.391,46.75,11.815,36,62,18.262,187,N3,L4+7,control,C3_N3_D2,63276.758
41,0.098,43,0,43,43,4.199,43,N3,L4+7,control,C3_N3_D2,63276.758
42,0.391,41.75,12.5,30,54,16.309,167,N3,L4+7,control,C3_N3_D2,63276.758
43,0.098,39,0,39,39,3.809,39,N3,L4+7,control,C3_N3_D2,63276.758
44,0.293,54.333,6.506,48,61,15.918,163,N3,L4+7,control,C3_N3_D2,63276.758
45,0.391,34.5,5.802,30,43,13.477,138,N3,L4+7,control,C3_N3_D2,63276.758
46,0.293,37.333,2.517,35,40,10.938,112,N3,L4+7,control,C3_N3_D2,63276.758
47,0.195,47.5,3.536,45,50,9.277,95,N3,L4+7,control,C3_N3_D2,63276.758
48,0.391,49.5,14.271,30,64,19.336,198,N3,L4+7,control,C3_N3_D2,63276.758
49,0.195,45.5,4.95,42,49,8.887,91,N3,L4+7,control,C3_N3_D2,63276.758
50,1.66,42,9.327,30,64,69.727,714,N3,L4+7,control,C3_N3_D2,63276.758
51,0.391,48,15.727,34,64,18.75,192,N3,L4+7,control,C3_N3_D2,63276.758
52,0.195,49.5,14.849,39,60,9.668,99,N3,L4+7,control,C3_N3_D2,63276.758
53,0.098,40,0,40,40,3.906,40,N3,L4+7,control,C3_N3_D2,63276.758
54,0.098,37,0,37,37,3.613,37,N3,L4+7,control,C3_N3_D2,63276.758
55,0.098,62,0,62,62,6.055,62,N3,L4+7,control,C3_N3_D2,63276.758
56,0.586,48.167,12.172,31,65,28.223,289,N3,L4+7,control,C3_N3_D2,63276.758
57,0.098,38,0,38,38,3.711,38,N3,L4+7,control,C3_N3_D2,63276.758
58,0.098,60,0,60,60,5.859,60,N3,L4+7,control,C3_N3_D2,63276.758
59,0.098,39,0,39,39,3.809,39,N3,L4+7,control,C3_N3_D2,63276.758
60,0.977,39.5,7.948,30,52,38.574,395,N3,L4+7,control,C3_N3_D2,63276.758
61,0.488,41.6,9.29,32,56,20.312,208,N3,L4+7,control,C3_N3_D2,63276.758
62,0.098,30,0,30,30,2.93,30,N3,L4+7,control,C3_N3_D2,63276.758
63,0.195,33,2.828,31,35,6.445,66,N3,L4+7,control,C3_N3_D2,63276.758
64,0.586,44.167,10.028,31,56,25.879,265,N3,L4+7,control,C3_N3_D2,63276.758
65,0.098,49,0,49,49,4.785,49,N3,L4+7,control,C3_N3_D2,63276.758
66,0.098,41,0,41,41,4.004,41,N3,L4+7,control,C3_N3_D2,63276.758
67,0.098,41,0,41,41,4.004,41,N3,L4+7,control,C3_N3_D2,63276.758
68,0.098,45,0,45,45,4.395,45,N3,L4+7,control,C3_N3_D2,63276.758
69,0.488,49.2,11.1,39,64,24.023,246,N3,L4+7,control,C3_N3_D2,63276.758
70,0.195,50,16.971,38,62,9.766,100,N3,L4+7,control,C3_N3_D2,63276.758
71,0.684,41.286,11.47,30,58,28.223,289,N3,L4+7,control,C3_N3_D2,63276.758
72,0.098,43,0,43,43,4.199,43,N3,L4+7,control,C3_N3_D2,63276.758
73,0.684,40.857,11.481,30,64,27.93,286,N3,L4+7,control,C3_N3_D2,63276.758
74,0.098,66,0,66,66,6.445,66,N3,L4+7,control,C3_N3_D2,63276.758
75,0.684,50.429,7.913,37,63,34.473,353,N3,L4+7,control,C3_N3_D2,63276.758
76,0.195,30.5,0.707,30,31,5.957,61,N3,L4+7,control,C3_N3_D2,63276.758
77,0.098,61,0,61,61,5.957,61,N3,L4+7,control,C3_N3_D2,63276.758
78,0.195,34,1.414,33,35,6.641,68,N3,L4+7,control,C3_N3_D2,63276.758
79,0.098,63,0,63,63,6.152,63,N3,L4+7,control,C3_N3_D2,63276.758
80,0.293,39.667,6.807,32,45,11.621,119,N3,L4+7,control,C3_N3_D2,63276.758
81,0.098,37,0,37,37,3.613,37,N3,L4+7,control,C3_N3_D2,63276.758
82,0.586,49.333,14.18,32,66,28.906,296,N3,L4+7,control,C3_N3_D2,63276.758
83,0.195,44.5,17.678,32,57,8.691,89,N3,L4+7,control,C3_N3_D2,63276.758
84,0.098,42,0,42,42,4.102,42,N3,L4+7,control,C3_N3_D2,63276.758
85,0.098,48,0,48,48,4.688,48,N3,L4+7,control,C3_N3_D2,63276.758
86,0.977,45.9,11.249,34,66,44.824,459,N3,L4+7,control,C3_N3_D2,63276.758
87,0.293,44.667,13.868,33,60,13.086,134,N3,L4+7,control,C3_N3_D2,63276.758
88,0.098,42,0,42,42,4.102,42,N3,L4+7,control,C3_N3_D2,63276.758
