aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.293,31,1,30,32,9.082,93,N1,L4+1,mannitol,M1_N1_D1,40826.172
2,6.934,37.93,6.1,30,53,262.988,2693,N1,L4+1,mannitol,M1_N1_D1,40826.172
3,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M1_N1_D1,40826.172
4,0.586,33.333,2.251,30,35,19.531,200,N1,L4+1,mannitol,M1_N1_D1,40826.172
5,0.488,42.2,9.445,33,55,20.605,211,N1,L4+1,mannitol,M1_N1_D1,40826.172
6,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M1_N1_D1,40826.172
7,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
8,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
9,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
10,0.488,32,1.871,30,34,15.625,160,N1,L4+1,mannitol,M1_N1_D1,40826.172
11,0.195,32.5,3.536,30,35,6.348,65,N1,L4+1,mannitol,M1_N1_D1,40826.172
12,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M1_N1_D1,40826.172
13,1.367,37.286,4.462,31,44,50.977,522,N1,L4+1,mannitol,M1_N1_D1,40826.172
14,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
15,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
16,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M1_N1_D1,40826.172
17,0.586,32.667,1.751,30,35,19.141,196,N1,L4+1,mannitol,M1_N1_D1,40826.172
18,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M1_N1_D1,40826.172
19,0.195,35,7.071,30,40,6.836,70,N1,L4+1,mannitol,M1_N1_D1,40826.172
20,0.391,34.5,7.047,30,45,13.477,138,N1,L4+1,mannitol,M1_N1_D1,40826.172
21,2.734,44.786,10.232,30,65,122.461,1254,N1,L4+1,mannitol,M1_N1_D1,40826.172
22,1.367,45.071,12.887,30,66,61.621,631,N1,L4+1,mannitol,M1_N1_D1,40826.172
23,0.684,47.429,10.784,36,61,32.422,332,N1,L4+1,mannitol,M1_N1_D1,40826.172
24,0.098,57,0,57,57,5.566,57,N1,L4+1,mannitol,M1_N1_D1,40826.172
25,0.195,44,18.385,31,57,8.594,88,N1,L4+1,mannitol,M1_N1_D1,40826.172
26,0.098,48,0,48,48,4.688,48,N1,L4+1,mannitol,M1_N1_D1,40826.172
27,0.098,34,0,34,34,3.32,34,N1,L4+1,mannitol,M1_N1_D1,40826.172
28,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M1_N1_D1,40826.172
29,0.098,48,0,48,48,4.688,48,N1,L4+1,mannitol,M1_N1_D1,40826.172
30,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
31,0.293,33,1,32,34,9.668,99,N1,L4+1,mannitol,M1_N1_D1,40826.172
32,0.293,49.333,12.503,37,62,14.453,148,N1,L4+1,mannitol,M1_N1_D1,40826.172
33,0.195,37.5,4.95,34,41,7.324,75,N1,L4+1,mannitol,M1_N1_D1,40826.172
34,0.293,44.333,1.155,43,45,12.988,133,N1,L4+1,mannitol,M1_N1_D1,40826.172
35,2.734,36,4.769,30,47,98.438,1008,N1,L4+1,mannitol,M1_N1_D1,40826.172
36,0.293,31.667,2.082,30,34,9.277,95,N1,L4+1,mannitol,M1_N1_D1,40826.172
37,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
38,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M1_N1_D1,40826.172
39,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
40,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M1_N1_D1,40826.172
41,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M1_N1_D1,40826.172
42,0.098,34,0,34,34,3.32,34,N1,L4+1,mannitol,M1_N1_D1,40826.172
43,1.074,49.364,9.025,38,63,53.027,543,N1,L4+1,mannitol,M1_N1_D1,40826.172
44,0.098,34,0,34,34,3.32,34,N1,L4+1,mannitol,M1_N1_D1,40826.172
45,1.855,47.947,8.866,30,66,88.965,911,N1,L4+1,mannitol,M1_N1_D1,40826.172
46,0.098,35,0,35,35,3.418,35,N1,L4+1,mannitol,M1_N1_D1,40826.172
47,0.391,33.5,3.416,30,38,13.086,134,N1,L4+1,mannitol,M1_N1_D1,40826.172
48,0.391,31.75,1.708,30,34,12.402,127,N1,L4+1,mannitol,M1_N1_D1,40826.172
49,0.195,31.5,0.707,31,32,6.152,63,N1,L4+1,mannitol,M1_N1_D1,40826.172
50,2.051,44.143,9.259,30,62,90.527,927,N1,L4+1,mannitol,M1_N1_D1,40826.172
51,0.586,42.5,8.216,32,54,24.902,255,N1,L4+1,mannitol,M1_N1_D1,40826.172
52,0.586,32.833,1.329,31,34,19.238,197,N1,L4+1,mannitol,M1_N1_D1,40826.172
53,0.684,49,12,30,65,33.496,343,N1,L4+1,mannitol,M1_N1_D1,40826.172
