aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M2_N3_D2,70998.926
2,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
3,0.977,43,5.437,32,46,41.992,430,N3,L4+7,mannitol,M2_N3_D2,70998.926
4,0.684,37.286,2.984,32,39,25.488,261,N3,L4+7,mannitol,M2_N3_D2,70998.926
5,0.684,40.286,4.112,36,49,27.539,282,N3,L4+7,mannitol,M2_N3_D2,70998.926
6,0.488,36.8,3.493,31,39,17.969,184,N3,L4+7,mannitol,M2_N3_D2,70998.926
7,0.586,43,4.899,33,45,25.195,258,N3,L4+7,mannitol,M2_N3_D2,70998.926
8,0.586,43.833,2.041,40,45,25.684,263,N3,L4+7,mannitol,M2_N3_D2,70998.926
9,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M2_N3_D2,70998.926
10,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
11,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
12,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
13,1.074,47.091,13.634,31,65,50.586,518,N3,L4+7,mannitol,M2_N3_D2,70998.926
14,0.195,39,7.071,34,44,7.617,78,N3,L4+7,mannitol,M2_N3_D2,70998.926
15,0.293,50.667,3.512,47,54,14.844,152,N3,L4+7,mannitol,M2_N3_D2,70998.926
16,0.391,37.75,7.32,30,44,14.746,151,N3,L4+7,mannitol,M2_N3_D2,70998.926
17,0.195,33,2.828,31,35,6.445,66,N3,L4+7,mannitol,M2_N3_D2,70998.926
18,0.488,34.6,3.715,30,40,16.895,173,N3,L4+7,mannitol,M2_N3_D2,70998.926
19,0.391,33.25,4.573,30,40,12.988,133,N3,L4+7,mannitol,M2_N3_D2,70998.926
20,0.195,37,7.071,32,42,7.227,74,N3,L4+7,mannitol,M2_N3_D2,70998.926
21,0.488,38,4.472,30,40,18.555,190,N3,L4+7,mannitol,M2_N3_D2,70998.926
22,0.098,45,0,45,45,4.395,45,N3,L4+7,mannitol,M2_N3_D2,70998.926
23,0.195,45,0,45,45,8.789,90,N3,L4+7,mannitol,M2_N3_D2,70998.926
24,0.293,39.333,3.786,35,42,11.523,118,N3,L4+7,mannitol,M2_N3_D2,70998.926
25,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M2_N3_D2,70998.926
26,0.195,40,0,40,40,7.812,80,N3,L4+7,mannitol,M2_N3_D2,70998.926
27,0.488,42.4,5.55,33,47,20.703,212,N3,L4+7,mannitol,M2_N3_D2,70998.926
28,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M2_N3_D2,70998.926
29,0.195,33,1.414,32,34,6.445,66,N3,L4+7,mannitol,M2_N3_D2,70998.926
30,0.195,33.5,2.121,32,35,6.543,67,N3,L4+7,mannitol,M2_N3_D2,70998.926
31,0.879,35.444,4.447,31,43,31.152,319,N3,L4+7,mannitol,M2_N3_D2,70998.926
32,0.195,33,1.414,32,34,6.445,66,N3,L4+7,mannitol,M2_N3_D2,70998.926
33,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M2_N3_D2,70998.926
34,0.391,38.25,7.805,31,45,14.941,153,N3,L4+7,mannitol,M2_N3_D2,70998.926
35,0.391,36.5,3.109,33,40,14.258,146,N3,L4+7,mannitol,M2_N3_D2,70998.926
36,7.031,44.833,8.018,30,66,315.234,3228,N3,L4+7,mannitol,M2_N3_D2,70998.926
37,0.195,39,1.414,38,40,7.617,78,N3,L4+7,mannitol,M2_N3_D2,70998.926
38,0.098,36,0,36,36,3.516,36,N3,L4+7,mannitol,M2_N3_D2,70998.926
39,0.293,36,5.196,33,42,10.547,108,N3,L4+7,mannitol,M2_N3_D2,70998.926
40,3.027,43.194,7.859,30,65,130.762,1339,N3,L4+7,mannitol,M2_N3_D2,70998.926
41,0.293,34,3,31,37,9.961,102,N3,L4+7,mannitol,M2_N3_D2,70998.926
42,0.098,46,0,46,46,4.492,46,N3,L4+7,mannitol,M2_N3_D2,70998.926
43,0.293,31,0,31,31,9.082,93,N3,L4+7,mannitol,M2_N3_D2,70998.926
44,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
45,0.488,37.2,1.304,35,38,18.164,186,N3,L4+7,mannitol,M2_N3_D2,70998.926
46,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M2_N3_D2,70998.926
47,0.098,36,0,36,36,3.516,36,N3,L4+7,mannitol,M2_N3_D2,70998.926
48,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M2_N3_D2,70998.926
49,0.977,39,4.807,32,45,38.086,390,N3,L4+7,mannitol,M2_N3_D2,70998.926
50,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M2_N3_D2,70998.926
51,0.195,34.5,4.95,31,38,6.738,69,N3,L4+7,mannitol,M2_N3_D2,70998.926
52,0.488,37.2,9.471,30,53,18.164,186,N3,L4+7,mannitol,M2_N3_D2,70998.926
53,0.391,30.75,0.957,30,32,12.012,123,N3,L4+7,mannitol,M2_N3_D2,70998.926
54,0.684,37.857,4.059,34,44,25.879,265,N3,L4+7,mannitol,M2_N3_D2,70998.926
55,7.129,44.973,8.156,30,64,320.605,3283,N3,L4+7,mannitol,M2_N3_D2,70998.926
56,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
57,1.074,39.182,4.854,33,45,42.09,431,N3,L4+7,mannitol,M2_N3_D2,70998.926
58,0.098,44,0,44,44,4.297,44,N3,L4+7,mannitol,M2_N3_D2,70998.926
59,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M2_N3_D2,70998.926
60,0.293,33,1.732,31,34,9.668,99,N3,L4+7,mannitol,M2_N3_D2,70998.926
61,0.293,35.667,4.041,32,40,10.449,107,N3,L4+7,mannitol,M2_N3_D2,70998.926
62,0.684,36.857,3.976,32,40,25.195,258,N3,L4+7,mannitol,M2_N3_D2,70998.926
63,0.293,38,7.211,32,46,11.133,114,N3,L4+7,mannitol,M2_N3_D2,70998.926
64,0.195,35,5.657,31,39,6.836,70,N3,L4+7,mannitol,M2_N3_D2,70998.926
65,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
66,0.391,38,7.118,30,44,14.844,152,N3,L4+7,mannitol,M2_N3_D2,70998.926
67,0.098,37,0,37,37,3.613,37,N3,L4+7,mannitol,M2_N3_D2,70998.926
68,1.367,41,4.151,34,51,56.055,574,N3,L4+7,mannitol,M2_N3_D2,70998.926
69,2.051,39.286,5.596,30,50,80.566,825,N3,L4+7,mannitol,M2_N3_D2,70998.926
70,0.293,40,5,35,45,11.719,120,N3,L4+7,mannitol,M2_N3_D2,70998.926
71,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M2_N3_D2,70998.926
72,0.195,38.5,7.778,33,44,7.52,77,N3,L4+7,mannitol,M2_N3_D2,70998.926
73,0.586,43.833,11.215,30,64,25.684,263,N3,L4+7,mannitol,M2_N3_D2,70998.926
74,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M2_N3_D2,70998.926
75,0.195,40,5.657,36,44,7.812,80,N3,L4+7,mannitol,M2_N3_D2,70998.926
76,0.195,45,9.899,38,52,8.789,90,N3,L4+7,mannitol,M2_N3_D2,70998.926
77,0.098,33,0,33,33,3.223,33,N3,L4+7,mannitol,M2_N3_D2,70998.926
78,2.148,40.227,5.117,30,53,86.426,885,N3,L4+7,mannitol,M2_N3_D2,70998.926
79,0.879,38.556,6.023,30,48,33.887,347,N3,L4+7,mannitol,M2_N3_D2,70998.926
80,0.195,41,1.414,40,42,8.008,82,N3,L4+7,mannitol,M2_N3_D2,70998.926
81,0.586,41.5,6.411,32,49,24.316,249,N3,L4+7,mannitol,M2_N3_D2,70998.926
82,4.688,40.521,4.287,31,45,189.941,1945,N3,L4+7,mannitol,M2_N3_D2,70998.926
83,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M2_N3_D2,70998.926
84,0.586,38.333,4.082,30,40,22.461,230,N3,L4+7,mannitol,M2_N3_D2,70998.926
85,0.195,35.5,3.536,33,38,6.934,71,N3,L4+7,mannitol,M2_N3_D2,70998.926
86,2.051,41.619,5.035,31,50,85.352,874,N3,L4+7,mannitol,M2_N3_D2,70998.926
87,0.488,38.6,7.403,30,44,18.848,193,N3,L4+7,mannitol,M2_N3_D2,70998.926
88,0.195,44,8.485,38,50,8.594,88,N3,L4+7,mannitol,M2_N3_D2,70998.926
89,0.586,38.333,6.501,30,44,22.461,230,N3,L4+7,mannitol,M2_N3_D2,70998.926
90,0.293,49.667,9.074,43,60,14.551,149,N3,L4+7,mannitol,M2_N3_D2,70998.926
91,1.758,38.722,5.131,30,44,68.066,697,N3,L4+7,mannitol,M2_N3_D2,70998.926
92,0.781,39.375,1.768,35,40,30.762,315,N3,L4+7,mannitol,M2_N3_D2,70998.926
93,1.66,45.882,9.656,32,63,76.172,780,N3,L4+7,mannitol,M2_N3_D2,70998.926
94,0.586,37.5,5.244,32,46,21.973,225,N3,L4+7,mannitol,M2_N3_D2,70998.926
95,0.195,33,1.414,32,34,6.445,66,N3,L4+7,mannitol,M2_N3_D2,70998.926
96,0.195,36,5.657,32,40,7.031,72,N3,L4+7,mannitol,M2_N3_D2,70998.926
97,0.098,53,0,53,53,5.176,53,N3,L4+7,mannitol,M2_N3_D2,70998.926
98,0.195,56,4.243,53,59,10.938,112,N3,L4+7,mannitol,M2_N3_D2,70998.926
99,0.195,52.5,2.121,51,54,10.254,105,N3,L4+7,mannitol,M2_N3_D2,70998.926
100,0.586,39.5,7.12,31,52,23.145,237,N3,L4+7,mannitol,M2_N3_D2,70998.926
101,0.586,39.167,1.602,36,40,22.949,235,N3,L4+7,mannitol,M2_N3_D2,70998.926
102,0.195,34.5,4.95,31,38,6.738,69,N3,L4+7,mannitol,M2_N3_D2,70998.926
103,0.098,39,0,39,39,3.809,39,N3,L4+7,mannitol,M2_N3_D2,70998.926
104,0.098,36,0,36,36,3.516,36,N3,L4+7,mannitol,M2_N3_D2,70998.926
105,0.488,37.8,2.683,35,41,18.457,189,N3,L4+7,mannitol,M2_N3_D2,70998.926
106,0.586,42,4.899,32,44,24.609,252,N3,L4+7,mannitol,M2_N3_D2,70998.926
107,0.098,40,0,40,40,3.906,40,N3,L4+7,mannitol,M2_N3_D2,70998.926
108,0.098,35,0,35,35,3.418,35,N3,L4+7,mannitol,M2_N3_D2,70998.926
109,0.781,38.625,5.878,30,44,30.176,309,N3,L4+7,mannitol,M2_N3_D2,70998.926
110,0.195,38.5,4.95,35,42,7.52,77,N3,L4+7,mannitol,M2_N3_D2,70998.926
111,0.098,35,0,35,35,3.418,35,N3,L4+7,mannitol,M2_N3_D2,70998.926
112,0.195,36.5,0.707,36,37,7.129,73,N3,L4+7,mannitol,M2_N3_D2,70998.926
113,0.391,37.5,4.655,33,44,14.648,150,N3,L4+7,mannitol,M2_N3_D2,70998.926
114,0.293,33,2,31,35,9.668,99,N3,L4+7,mannitol,M2_N3_D2,70998.926
115,0.391,34.5,3.786,32,40,13.477,138,N3,L4+7,mannitol,M2_N3_D2,70998.926
116,0.586,36.167,4.665,30,40,21.191,217,N3,L4+7,mannitol,M2_N3_D2,70998.926
117,0.781,48.75,12.87,32,65,38.086,390,N3,L4+7,mannitol,M2_N3_D2,70998.926
118,0.293,41.333,14.012,30,57,12.109,124,N3,L4+7,mannitol,M2_N3_D2,70998.926
119,0.684,45,6.782,37,55,30.762,315,N3,L4+7,mannitol,M2_N3_D2,70998.926
120,0.391,40.75,3.948,36,44,15.918,163,N3,L4+7,mannitol,M2_N3_D2,70998.926
121,0.684,42.857,8.05,32,55,29.297,300,N3,L4+7,mannitol,M2_N3_D2,70998.926
122,0.391,40.5,4.726,34,44,15.82,162,N3,L4+7,mannitol,M2_N3_D2,70998.926
123,0.488,41.6,3.912,35,44,20.312,208,N3,L4+7,mannitol,M2_N3_D2,70998.926
124,0.098,33,0,33,33,3.223,33,N3,L4+7,mannitol,M2_N3_D2,70998.926
125,0.293,36,5,31,41,10.547,108,N3,L4+7,mannitol,M2_N3_D2,70998.926
126,0.195,33,1.414,32,34,6.445,66,N3,L4+7,mannitol,M2_N3_D2,70998.926
127,0.293,35.667,5.033,31,41,10.449,107,N3,L4+7,mannitol,M2_N3_D2,70998.926
128,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M2_N3_D2,70998.926
129,0.195,38.5,6.364,34,43,7.52,77,N3,L4+7,mannitol,M2_N3_D2,70998.926
130,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M2_N3_D2,70998.926
131,0.195,39,2.828,37,41,7.617,78,N3,L4+7,mannitol,M2_N3_D2,70998.926
132,0.293,36.667,4.726,33,42,10.742,110,N3,L4+7,mannitol,M2_N3_D2,70998.926
133,0.293,35.667,7.371,30,44,10.449,107,N3,L4+7,mannitol,M2_N3_D2,70998.926
134,0.098,35,0,35,35,3.418,35,N3,L4+7,mannitol,M2_N3_D2,70998.926
135,0.684,41,7.047,30,48,28.027,287,N3,L4+7,mannitol,M2_N3_D2,70998.926
136,0.195,41.5,3.536,39,44,8.105,83,N3,L4+7,mannitol,M2_N3_D2,70998.926
137,0.293,35.667,5.686,31,42,10.449,107,N3,L4+7,mannitol,M2_N3_D2,70998.926
