aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.293,53,10.536,43,64,15.527,159,N3,L4+14,mannitol,M1_N3_D3,86622.949
2,0.195,44.5,4.95,41,48,8.691,89,N3,L4+14,mannitol,M1_N3_D3,86622.949
3,0.098,36,0,36,36,3.516,36,N3,L4+14,mannitol,M1_N3_D3,86622.949
4,0.098,32,0,32,32,3.125,32,N3,L4+14,mannitol,M1_N3_D3,86622.949
5,0.293,58.667,12.503,46,71,17.188,176,N3,L4+14,mannitol,M1_N3_D3,86622.949
6,0.195,43.5,19.092,30,57,8.496,87,N3,L4+14,mannitol,M1_N3_D3,86622.949
7,0.098,37,0,37,37,3.613,37,N3,L4+14,mannitol,M1_N3_D3,86622.949
8,0.098,44,0,44,44,4.297,44,N3,L4+14,mannitol,M1_N3_D3,86622.949
9,0.488,42.2,8.983,32,56,20.605,211,N3,L4+14,mannitol,M1_N3_D3,86622.949
10,0.293,45.667,6.506,39,52,13.379,137,N3,L4+14,mannitol,M1_N3_D3,86622.949
11,0.195,50.5,16.263,39,62,9.863,101,N3,L4+14,mannitol,M1_N3_D3,86622.949
12,0.195,45.5,3.536,43,48,8.887,91,N3,L4+14,mannitol,M1_N3_D3,86622.949
13,0.098,58,0,58,58,5.664,58,N3,L4+14,mannitol,M1_N3_D3,86622.949
14,0.098,39,0,39,39,3.809,39,N3,L4+14,mannitol,M1_N3_D3,86622.949
15,0.684,49.714,13.659,34,71,33.984,348,N3,L4+14,mannitol,M1_N3_D3,86622.949
16,0.977,37,7.76,30,49,36.133,370,N3,L4+14,mannitol,M1_N3_D3,86622.949
17,0.098,58,0,58,58,5.664,58,N3,L4+14,mannitol,M1_N3_D3,86622.949
18,0.098,52,0,52,52,5.078,52,N3,L4+14,mannitol,M1_N3_D3,86622.949
19,0.195,32.5,3.536,30,35,6.348,65,N3,L4+14,mannitol,M1_N3_D3,86622.949
20,0.098,55,0,55,55,5.371,55,N3,L4+14,mannitol,M1_N3_D3,86622.949
21,0.098,58,0,58,58,5.664,58,N3,L4+14,mannitol,M1_N3_D3,86622.949
22,0.293,33,2,31,35,9.668,99,N3,L4+14,mannitol,M1_N3_D3,86622.949
23,0.293,33.667,2.082,32,36,9.863,101,N3,L4+14,mannitol,M1_N3_D3,86622.949
24,0.488,54.6,14.843,33,70,26.66,273,N3,L4+14,mannitol,M1_N3_D3,86622.949
25,0.293,31,0,31,31,9.082,93,N3,L4+14,mannitol,M1_N3_D3,86622.949
26,0.098,30,0,30,30,2.93,30,N3,L4+14,mannitol,M1_N3_D3,86622.949
27,0.098,32,0,32,32,3.125,32,N3,L4+14,mannitol,M1_N3_D3,86622.949
28,0.098,30,0,30,30,2.93,30,N3,L4+14,mannitol,M1_N3_D3,86622.949
29,0.391,32.75,3.594,30,38,12.793,131,N3,L4+14,mannitol,M1_N3_D3,86622.949
30,0.195,30,0,30,30,5.859,60,N3,L4+14,mannitol,M1_N3_D3,86622.949
31,0.098,40,0,40,40,3.906,40,N3,L4+14,mannitol,M1_N3_D3,86622.949
32,1.66,42.941,13.782,31,71,71.289,730,N3,L4+14,mannitol,M1_N3_D3,86622.949
33,0.098,31,0,31,31,3.027,31,N3,L4+14,mannitol,M1_N3_D3,86622.949
34,0.195,46,4.243,43,49,8.984,92,N3,L4+14,mannitol,M1_N3_D3,86622.949
35,0.098,36,0,36,36,3.516,36,N3,L4+14,mannitol,M1_N3_D3,86622.949
36,0.293,32.333,1.155,31,33,9.473,97,N3,L4+14,mannitol,M1_N3_D3,86622.949
37,0.098,32,0,32,32,3.125,32,N3,L4+14,mannitol,M1_N3_D3,86622.949
38,0.098,30,0,30,30,2.93,30,N3,L4+14,mannitol,M1_N3_D3,86622.949
39,0.098,31,0,31,31,3.027,31,N3,L4+14,mannitol,M1_N3_D3,86622.949
40,0.488,39.4,5.505,31,45,19.238,197,N3,L4+14,mannitol,M1_N3_D3,86622.949
41,0.195,58.5,7.778,53,64,11.426,117,N3,L4+14,mannitol,M1_N3_D3,86622.949
