aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,1.953,40.65,8.015,30,54,79.395,813,N3,L4+7,mannitol,M3_N3_D2,75898.145
2,0.488,35,4.062,31,41,17.09,175,N3,L4+7,mannitol,M3_N3_D2,75898.145
3,0.488,36.2,5.45,31,44,17.676,181,N3,L4+7,mannitol,M3_N3_D2,75898.145
4,0.586,40.667,7.23,31,49,23.828,244,N3,L4+7,mannitol,M3_N3_D2,75898.145
5,0.195,32.5,2.121,31,34,6.348,65,N3,L4+7,mannitol,M3_N3_D2,75898.145
6,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M3_N3_D2,75898.145
7,0.781,41.25,6.364,33,50,32.227,330,N3,L4+7,mannitol,M3_N3_D2,75898.145
8,0.391,47.5,6.028,42,56,18.555,190,N3,L4+7,mannitol,M3_N3_D2,75898.145
9,0.391,35.25,4.349,31,41,13.77,141,N3,L4+7,mannitol,M3_N3_D2,75898.145
10,0.195,34,4.243,31,37,6.641,68,N3,L4+7,mannitol,M3_N3_D2,75898.145
11,0.488,42.4,8.112,31,53,20.703,212,N3,L4+7,mannitol,M3_N3_D2,75898.145
12,0.488,41.2,6.723,32,49,20.117,206,N3,L4+7,mannitol,M3_N3_D2,75898.145
13,0.098,66,0,66,66,6.445,66,N3,L4+7,mannitol,M3_N3_D2,75898.145
14,0.488,40.4,7.701,32,51,19.727,202,N3,L4+7,mannitol,M3_N3_D2,75898.145
15,0.684,46.857,9.599,34,61,32.031,328,N3,L4+7,mannitol,M3_N3_D2,75898.145
16,0.098,36,0,36,36,3.516,36,N3,L4+7,mannitol,M3_N3_D2,75898.145
17,0.391,39.25,11.815,30,56,15.332,157,N3,L4+7,mannitol,M3_N3_D2,75898.145
18,0.195,39.5,4.95,36,43,7.715,79,N3,L4+7,mannitol,M3_N3_D2,75898.145
19,0.488,45.6,16.441,30,71,22.266,228,N3,L4+7,mannitol,M3_N3_D2,75898.145
20,0.098,54,0,54,54,5.273,54,N3,L4+7,mannitol,M3_N3_D2,75898.145
21,1.953,46.2,10.645,32,67,90.234,924,N3,L4+7,mannitol,M3_N3_D2,75898.145
22,0.098,37,0,37,37,3.613,37,N3,L4+7,mannitol,M3_N3_D2,75898.145
23,0.195,41,7.071,36,46,8.008,82,N3,L4+7,mannitol,M3_N3_D2,75898.145
24,1.074,49.182,14.261,34,73,52.832,541,N3,L4+7,mannitol,M3_N3_D2,75898.145
25,0.098,53,0,53,53,5.176,53,N3,L4+7,mannitol,M3_N3_D2,75898.145
26,0.098,32,0,32,32,3.125,32,N3,L4+7,mannitol,M3_N3_D2,75898.145
27,0.293,46,14.731,37,63,13.477,138,N3,L4+7,mannitol,M3_N3_D2,75898.145
28,1.172,39.75,8.625,30,54,46.582,477,N3,L4+7,mannitol,M3_N3_D2,75898.145
29,0.293,49.333,5.508,43,53,14.453,148,N3,L4+7,mannitol,M3_N3_D2,75898.145
30,0.195,53,24.042,36,70,10.352,106,N3,L4+7,mannitol,M3_N3_D2,75898.145
31,0.098,30,0,30,30,2.93,30,N3,L4+7,mannitol,M3_N3_D2,75898.145
32,0.195,55.5,0.707,55,56,10.84,111,N3,L4+7,mannitol,M3_N3_D2,75898.145
33,0.098,65,0,65,65,6.348,65,N3,L4+7,mannitol,M3_N3_D2,75898.145
34,0.098,59,0,59,59,5.762,59,N3,L4+7,mannitol,M3_N3_D2,75898.145
35,0.098,64,0,64,64,6.25,64,N3,L4+7,mannitol,M3_N3_D2,75898.145
36,0.195,63,1.414,62,64,12.305,126,N3,L4+7,mannitol,M3_N3_D2,75898.145
37,0.098,55,0,55,55,5.371,55,N3,L4+7,mannitol,M3_N3_D2,75898.145
38,1.27,50.385,14.069,31,73,63.965,655,N3,L4+7,mannitol,M3_N3_D2,75898.145
39,0.195,44,2.828,42,46,8.594,88,N3,L4+7,mannitol,M3_N3_D2,75898.145
40,0.391,42.75,16.378,31,67,16.699,171,N3,L4+7,mannitol,M3_N3_D2,75898.145
41,0.488,35.2,7.396,30,48,17.188,176,N3,L4+7,mannitol,M3_N3_D2,75898.145
42,2.344,54.208,14.04,30,73,127.051,1301,N3,L4+7,mannitol,M3_N3_D2,75898.145
43,0.195,47,22.627,31,63,9.18,94,N3,L4+7,mannitol,M3_N3_D2,75898.145
44,0.098,33,0,33,33,3.223,33,N3,L4+7,mannitol,M3_N3_D2,75898.145
45,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M3_N3_D2,75898.145
46,0.488,38.4,6.877,30,48,18.75,192,N3,L4+7,mannitol,M3_N3_D2,75898.145
47,0.098,50,0,50,50,4.883,50,N3,L4+7,mannitol,M3_N3_D2,75898.145
48,1.562,37.688,5.498,30,47,58.887,603,N3,L4+7,mannitol,M3_N3_D2,75898.145
49,1.27,50.308,13.877,31,71,63.867,654,N3,L4+7,mannitol,M3_N3_D2,75898.145
50,0.098,35,0,35,35,3.418,35,N3,L4+7,mannitol,M3_N3_D2,75898.145
51,1.66,49.235,15.16,30,72,81.738,837,N3,L4+7,mannitol,M3_N3_D2,75898.145
52,0.391,47,13.089,31,63,18.359,188,N3,L4+7,mannitol,M3_N3_D2,75898.145
53,1.074,42.909,10.329,31,63,46.094,472,N3,L4+7,mannitol,M3_N3_D2,75898.145
54,0.098,53,0,53,53,5.176,53,N3,L4+7,mannitol,M3_N3_D2,75898.145
55,0.293,63.333,8.505,57,73,18.555,190,N3,L4+7,mannitol,M3_N3_D2,75898.145
56,0.195,56.5,23.335,40,73,11.035,113,N3,L4+7,mannitol,M3_N3_D2,75898.145
57,0.488,39.6,8.989,31,53,19.336,198,N3,L4+7,mannitol,M3_N3_D2,75898.145
58,0.293,36.667,3.215,33,39,10.742,110,N3,L4+7,mannitol,M3_N3_D2,75898.145
59,0.977,48.4,14.569,30,70,47.266,484,N3,L4+7,mannitol,M3_N3_D2,75898.145
60,0.586,44,8.532,33,55,25.781,264,N3,L4+7,mannitol,M3_N3_D2,75898.145
61,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M3_N3_D2,75898.145
62,1.855,49,11.46,32,72,90.918,931,N3,L4+7,mannitol,M3_N3_D2,75898.145
63,0.293,38.333,1.528,37,40,11.23,115,N3,L4+7,mannitol,M3_N3_D2,75898.145
64,0.098,31,0,31,31,3.027,31,N3,L4+7,mannitol,M3_N3_D2,75898.145
65,0.195,46,8.485,40,52,8.984,92,N3,L4+7,mannitol,M3_N3_D2,75898.145
66,0.781,50,11.11,35,64,39.062,400,N3,L4+7,mannitol,M3_N3_D2,75898.145
67,4.98,47.451,12.095,30,73,236.328,2420,N3,L4+7,mannitol,M3_N3_D2,75898.145
68,0.391,40.25,7.588,34,51,15.723,161,N3,L4+7,mannitol,M3_N3_D2,75898.145
69,0.195,38,1.414,37,39,7.422,76,N3,L4+7,mannitol,M3_N3_D2,75898.145
70,0.488,39.8,8.349,30,52,19.434,199,N3,L4+7,mannitol,M3_N3_D2,75898.145
71,0.391,49.5,8.266,38,56,19.336,198,N3,L4+7,mannitol,M3_N3_D2,75898.145
72,0.098,36,0,36,36,3.516,36,N3,L4+7,mannitol,M3_N3_D2,75898.145
73,0.293,37,6.245,30,42,10.84,111,N3,L4+7,mannitol,M3_N3_D2,75898.145
74,0.586,43.5,12.062,33,62,25.488,261,N3,L4+7,mannitol,M3_N3_D2,75898.145
75,0.098,34,0,34,34,3.32,34,N3,L4+7,mannitol,M3_N3_D2,75898.145
76,0.293,39.333,9.504,30,49,11.523,118,N3,L4+7,mannitol,M3_N3_D2,75898.145
77,0.586,52.167,12.671,35,65,30.566,313,N3,L4+7,mannitol,M3_N3_D2,75898.145
78,0.391,44.5,10.344,33,57,17.383,178,N3,L4+7,mannitol,M3_N3_D2,75898.145
79,0.293,51.667,13.65,37,64,15.137,155,N3,L4+7,mannitol,M3_N3_D2,75898.145
80,0.684,48.429,11.788,35,68,33.105,339,N3,L4+7,mannitol,M3_N3_D2,75898.145
81,0.586,47.667,11.057,37,65,27.93,286,N3,L4+7,mannitol,M3_N3_D2,75898.145
82,0.098,44,0,44,44,4.297,44,N3,L4+7,mannitol,M3_N3_D2,75898.145
83,0.586,52.5,9.834,42,64,30.762,315,N3,L4+7,mannitol,M3_N3_D2,75898.145
84,0.195,40,8.485,34,46,7.812,80,N3,L4+7,mannitol,M3_N3_D2,75898.145
85,0.098,42,0,42,42,4.102,42,N3,L4+7,mannitol,M3_N3_D2,75898.145
86,0.098,68,0,68,68,6.641,68,N3,L4+7,mannitol,M3_N3_D2,75898.145
87,0.195,33,2.828,31,35,6.445,66,N3,L4+7,mannitol,M3_N3_D2,75898.145
88,0.195,45.5,12.021,37,54,8.887,91,N3,L4+7,mannitol,M3_N3_D2,75898.145
89,0.098,40,0,40,40,3.906,40,N3,L4+7,mannitol,M3_N3_D2,75898.145
90,0.098,39,0,39,39,3.809,39,N3,L4+7,mannitol,M3_N3_D2,75898.145
91,0.781,52.25,13.781,35,69,40.82,418,N3,L4+7,mannitol,M3_N3_D2,75898.145
92,0.977,52,13.589,34,72,50.781,520,N3,L4+7,mannitol,M3_N3_D2,75898.145
93,0.195,45.5,14.849,35,56,8.887,91,N3,L4+7,mannitol,M3_N3_D2,75898.145
94,0.195,38.5,9.192,32,45,7.52,77,N3,L4+7,mannitol,M3_N3_D2,75898.145
95,1.172,47.833,11.248,31,65,56.055,574,N3,L4+7,mannitol,M3_N3_D2,75898.145
96,0.195,30,0,30,30,5.859,60,N3,L4+7,mannitol,M3_N3_D2,75898.145
97,0.098,33,0,33,33,3.223,33,N3,L4+7,mannitol,M3_N3_D2,75898.145
98,0.098,38,0,38,38,3.711,38,N3,L4+7,mannitol,M3_N3_D2,75898.145
99,0.098,35,0,35,35,3.418,35,N3,L4+7,mannitol,M3_N3_D2,75898.145
100,1.758,45.667,8.711,30,59,80.273,822,N3,L4+7,mannitol,M3_N3_D2,75898.145
101,0.195,68,4.243,65,71,13.281,136,N3,L4+7,mannitol,M3_N3_D2,75898.145
102,0.098,60,0,60,60,5.859,60,N3,L4+7,mannitol,M3_N3_D2,75898.145
103,0.098,64,0,64,64,6.25,64,N3,L4+7,mannitol,M3_N3_D2,75898.145
104,0.098,47,0,47,47,4.59,47,N3,L4+7,mannitol,M3_N3_D2,75898.145
105,0.391,48,18.815,33,73,18.75,192,N3,L4+7,mannitol,M3_N3_D2,75898.145
