aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
2148,0.098,55,0,55,55,5.371,55,N3,L4+1,control,C3_N3_D1,41054.883
2149,0.195,64.5,2.121,63,66,12.598,129,N3,L4+1,control,C3_N3_D1,41054.883
2150,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
2151,0.195,64.5,0.707,64,65,12.598,129,N3,L4+1,control,C3_N3_D1,41054.883
2152,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
2153,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
2154,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
2155,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
2156,0.293,63,2,61,65,18.457,189,N3,L4+1,control,C3_N3_D1,41054.883
2157,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
2158,0.195,65.5,0.707,65,66,12.793,131,N3,L4+1,control,C3_N3_D1,41054.883
2159,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
2160,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
2161,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
2162,0.195,30,0,30,30,5.859,60,N3,L4+1,control,C3_N3_D1,41054.883
2163,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
2164,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
