aggr_num,aagr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
163,0.098,46,0,46,46,4.492,46,N3,L4+1,control,C3_N3_D1,41054.883
164,0.293,40.667,8.737,31,48,11.914,122,N3,L4+1,control,C3_N3_D1,41054.883
165,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
166,0.098,42,0,42,42,4.102,42,N3,L4+1,control,C3_N3_D1,41054.883
167,0.977,37.7,5.677,30,47,36.816,377,N3,L4+1,control,C3_N3_D1,41054.883
168,1.27,42.846,8.285,32,57,54.395,557,N3,L4+1,control,C3_N3_D1,41054.883
169,0.195,51.5,12.021,43,60,10.059,103,N3,L4+1,control,C3_N3_D1,41054.883
170,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
171,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
172,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
173,0.098,44,0,44,44,4.297,44,N3,L4+1,control,C3_N3_D1,41054.883
174,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
175,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
176,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
177,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
178,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
179,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
180,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
181,0.195,63,2.828,61,65,12.305,126,N3,L4+1,control,C3_N3_D1,41054.883
182,0.195,62.5,2.121,61,64,12.207,125,N3,L4+1,control,C3_N3_D1,41054.883
183,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
184,0.293,47.333,11.015,36,58,13.867,142,N3,L4+1,control,C3_N3_D1,41054.883
185,0.195,35,7.071,30,40,6.836,70,N3,L4+1,control,C3_N3_D1,41054.883
186,1.074,33.182,2.676,30,38,35.645,365,N3,L4+1,control,C3_N3_D1,41054.883
187,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
188,0.195,32.5,2.121,31,34,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
189,0.098,43,0,43,43,4.199,43,N3,L4+1,control,C3_N3_D1,41054.883
190,0.977,39.9,6.641,30,53,38.965,399,N3,L4+1,control,C3_N3_D1,41054.883
191,0.195,32,2.828,30,34,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
192,0.293,50.667,12.055,38,62,14.844,152,N3,L4+1,control,C3_N3_D1,41054.883
193,0.977,35.8,8.39,30,53,34.961,358,N3,L4+1,control,C3_N3_D1,41054.883
194,2.148,38.227,8.429,30,63,82.129,841,N3,L4+1,control,C3_N3_D1,41054.883
195,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
196,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
197,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
198,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
199,0.293,35.667,0.577,35,36,10.449,107,N3,L4+1,control,C3_N3_D1,41054.883
200,0.488,47.2,13.424,31,65,23.047,236,N3,L4+1,control,C3_N3_D1,41054.883
201,0.195,34.5,6.364,30,39,6.738,69,N3,L4+1,control,C3_N3_D1,41054.883
202,0.684,38.571,6.241,30,49,26.367,270,N3,L4+1,control,C3_N3_D1,41054.883
203,0.195,35,1.414,34,36,6.836,70,N3,L4+1,control,C3_N3_D1,41054.883
204,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
205,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
206,0.293,35,4.359,30,38,10.254,105,N3,L4+1,control,C3_N3_D1,41054.883
207,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
208,0.195,39.5,9.192,33,46,7.715,79,N3,L4+1,control,C3_N3_D1,41054.883
209,0.293,33.667,2.887,32,37,9.863,101,N3,L4+1,control,C3_N3_D1,41054.883
210,0.293,51.667,16.197,33,62,15.137,155,N3,L4+1,control,C3_N3_D1,41054.883
211,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
212,0.293,35,2.646,32,37,10.254,105,N3,L4+1,control,C3_N3_D1,41054.883
213,0.488,39.2,5.762,31,46,19.141,196,N3,L4+1,control,C3_N3_D1,41054.883
214,0.195,45,15.556,34,56,8.789,90,N3,L4+1,control,C3_N3_D1,41054.883
215,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
216,0.195,45.5,4.95,42,49,8.887,91,N3,L4+1,control,C3_N3_D1,41054.883
217,0.098,56,0,56,56,5.469,56,N3,L4+1,control,C3_N3_D1,41054.883
218,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
219,0.195,42,7.071,37,47,8.203,84,N3,L4+1,control,C3_N3_D1,41054.883
220,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C3_N3_D1,41054.883
221,0.293,33,3.606,30,37,9.668,99,N3,L4+1,control,C3_N3_D1,41054.883
222,0.195,44,18.385,31,57,8.594,88,N3,L4+1,control,C3_N3_D1,41054.883
223,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
224,0.098,39,0,39,39,3.809,39,N3,L4+1,control,C3_N3_D1,41054.883
225,0.488,47.6,9.737,32,57,23.242,238,N3,L4+1,control,C3_N3_D1,41054.883
226,0.195,30.5,0.707,30,31,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
227,2.246,44.435,10.715,30,64,99.805,1022,N3,L4+1,control,C3_N3_D1,41054.883
228,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
229,1.074,60.091,4.505,48,65,64.551,661,N3,L4+1,control,C3_N3_D1,41054.883
230,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
231,0.098,36,0,36,36,3.516,36,N3,L4+1,control,C3_N3_D1,41054.883
232,0.391,34,2.16,32,37,13.281,136,N3,L4+1,control,C3_N3_D1,41054.883
233,0.195,60,2.828,58,62,11.719,120,N3,L4+1,control,C3_N3_D1,41054.883
234,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
235,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
236,0.098,37,0,37,37,3.613,37,N3,L4+1,control,C3_N3_D1,41054.883
237,0.098,38,0,38,38,3.711,38,N3,L4+1,control,C3_N3_D1,41054.883
238,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
239,0.195,60.5,2.121,59,62,11.816,121,N3,L4+1,control,C3_N3_D1,41054.883
240,0.781,62.375,4.104,54,65,48.73,499,N3,L4+1,control,C3_N3_D1,41054.883
241,0.781,33.75,3.105,30,40,26.367,270,N3,L4+1,control,C3_N3_D1,41054.883
242,0.098,57,0,57,57,5.566,57,N3,L4+1,control,C3_N3_D1,41054.883
243,3.809,56.974,7.257,39,66,216.992,2222,N3,L4+1,control,C3_N3_D1,41054.883
244,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
245,0.195,34.5,3.536,32,37,6.738,69,N3,L4+1,control,C3_N3_D1,41054.883
246,0.195,66,0,66,66,12.891,132,N3,L4+1,control,C3_N3_D1,41054.883
247,0.195,63.5,0.707,63,64,12.402,127,N3,L4+1,control,C3_N3_D1,41054.883
248,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
249,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
250,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
251,3.223,47.03,10.166,31,65,151.562,1552,N3,L4+1,control,C3_N3_D1,41054.883
252,1.27,54.538,7.114,40,64,69.238,709,N3,L4+1,control,C3_N3_D1,41054.883
253,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
254,0.195,58,0,58,58,11.328,116,N3,L4+1,control,C3_N3_D1,41054.883
255,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
256,0.098,60,0,60,60,5.859,60,N3,L4+1,control,C3_N3_D1,41054.883
257,0.195,64.5,0.707,64,65,12.598,129,N3,L4+1,control,C3_N3_D1,41054.883
258,0.195,65.5,0.707,65,66,12.793,131,N3,L4+1,control,C3_N3_D1,41054.883
259,0.293,64,0,64,64,18.75,192,N3,L4+1,control,C3_N3_D1,41054.883
260,1.562,51.938,8.567,37,66,81.152,831,N3,L4+1,control,C3_N3_D1,41054.883
261,0.098,48,0,48,48,4.688,48,N3,L4+1,control,C3_N3_D1,41054.883
262,0.098,58,0,58,58,5.664,58,N3,L4+1,control,C3_N3_D1,41054.883
263,1.465,62.2,3.55,55,66,91.113,933,N3,L4+1,control,C3_N3_D1,41054.883
264,0.977,57.3,7.166,40,66,55.957,573,N3,L4+1,control,C3_N3_D1,41054.883
265,0.488,41,8.718,32,52,20.02,205,N3,L4+1,control,C3_N3_D1,41054.883
266,0.195,64,0,64,64,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
267,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
268,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
269,0.391,42.75,11.442,33,59,16.699,171,N3,L4+1,control,C3_N3_D1,41054.883
270,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
271,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
272,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
273,0.391,59.75,2.63,56,62,23.34,239,N3,L4+1,control,C3_N3_D1,41054.883
274,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
275,1.172,42.583,11.619,31,60,49.902,511,N3,L4+1,control,C3_N3_D1,41054.883
276,0.391,65.25,0.957,64,66,25.488,261,N3,L4+1,control,C3_N3_D1,41054.883
277,0.098,48,0,48,48,4.688,48,N3,L4+1,control,C3_N3_D1,41054.883
278,0.391,63.75,3.304,59,66,24.902,255,N3,L4+1,control,C3_N3_D1,41054.883
279,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C3_N3_D1,41054.883
280,0.977,64.9,1.37,62,66,63.379,649,N3,L4+1,control,C3_N3_D1,41054.883
281,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
282,0.391,49,6,40,52,19.141,196,N3,L4+1,control,C3_N3_D1,41054.883
283,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
284,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
285,0.195,63,4.243,60,66,12.305,126,N3,L4+1,control,C3_N3_D1,41054.883
286,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
287,0.391,31.5,1.915,30,34,12.305,126,N3,L4+1,control,C3_N3_D1,41054.883
288,0.391,63.75,2.062,61,66,24.902,255,N3,L4+1,control,C3_N3_D1,41054.883
289,0.195,62.5,2.121,61,64,12.207,125,N3,L4+1,control,C3_N3_D1,41054.883
290,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
291,0.195,50.5,9.192,44,57,9.863,101,N3,L4+1,control,C3_N3_D1,41054.883
292,1.27,65.538,0.776,64,66,83.203,852,N3,L4+1,control,C3_N3_D1,41054.883
293,0.293,45.667,14.224,36,62,13.379,137,N3,L4+1,control,C3_N3_D1,41054.883
294,0.195,31,0,31,31,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
295,0.586,56.833,5.742,50,63,33.301,341,N3,L4+1,control,C3_N3_D1,41054.883
296,0.195,45,18.385,32,58,8.789,90,N3,L4+1,control,C3_N3_D1,41054.883
297,0.684,49.286,10.657,31,59,33.691,345,N3,L4+1,control,C3_N3_D1,41054.883
298,0.391,63.75,0.5,63,64,24.902,255,N3,L4+1,control,C3_N3_D1,41054.883
299,0.195,53,11.314,45,61,10.352,106,N3,L4+1,control,C3_N3_D1,41054.883
300,1.562,39.75,9.256,30,56,62.109,636,N3,L4+1,control,C3_N3_D1,41054.883
301,0.488,48.8,10.378,34,61,23.828,244,N3,L4+1,control,C3_N3_D1,41054.883
302,0.195,54.5,10.607,47,62,10.645,109,N3,L4+1,control,C3_N3_D1,41054.883
303,0.293,52,6.083,48,59,15.234,156,N3,L4+1,control,C3_N3_D1,41054.883
304,0.879,42.111,8.609,34,55,37.012,379,N3,L4+1,control,C3_N3_D1,41054.883
305,0.195,65.5,0.707,65,66,12.793,131,N3,L4+1,control,C3_N3_D1,41054.883
306,0.488,33.4,1.949,32,36,16.309,167,N3,L4+1,control,C3_N3_D1,41054.883
307,0.293,66,0,66,66,19.336,198,N3,L4+1,control,C3_N3_D1,41054.883
308,0.293,48.667,3.512,45,52,14.258,146,N3,L4+1,control,C3_N3_D1,41054.883
309,0.586,42.667,9.07,31,56,25,256,N3,L4+1,control,C3_N3_D1,41054.883
310,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
311,2.246,46.609,11.134,30,64,104.688,1072,N3,L4+1,control,C3_N3_D1,41054.883
312,0.586,63.833,1.722,62,66,37.402,383,N3,L4+1,control,C3_N3_D1,41054.883
313,0.195,31.5,0.707,31,32,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
314,2.246,46.478,11.874,30,66,104.395,1069,N3,L4+1,control,C3_N3_D1,41054.883
315,0.684,47,12.288,31,60,32.129,329,N3,L4+1,control,C3_N3_D1,41054.883
316,0.293,34,2.646,32,37,9.961,102,N3,L4+1,control,C3_N3_D1,41054.883
317,0.781,34.375,3.42,30,40,26.855,275,N3,L4+1,control,C3_N3_D1,41054.883
318,1.074,50.273,8.73,35,65,54.004,553,N3,L4+1,control,C3_N3_D1,41054.883
319,0.391,44.5,5.802,39,52,17.383,178,N3,L4+1,control,C3_N3_D1,41054.883
320,3.027,43.516,10.608,30,64,131.738,1349,N3,L4+1,control,C3_N3_D1,41054.883
321,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
322,0.195,31,1.414,30,32,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
323,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
324,1.465,38.867,6.896,30,51,56.934,583,N3,L4+1,control,C3_N3_D1,41054.883
325,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
326,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
327,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
328,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
329,0.391,37,0.816,36,38,14.453,148,N3,L4+1,control,C3_N3_D1,41054.883
330,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
331,0.195,34,0,34,34,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
332,0.195,34,1.414,33,35,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
333,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
334,0.977,36.8,3.49,32,44,35.938,368,N3,L4+1,control,C3_N3_D1,41054.883
335,0.391,37.5,7.188,32,48,14.648,150,N3,L4+1,control,C3_N3_D1,41054.883
336,0.781,38.625,7.726,30,51,30.176,309,N3,L4+1,control,C3_N3_D1,41054.883
337,0.195,34,1.414,33,35,6.641,68,N3,L4+1,control,C3_N3_D1,41054.883
338,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
339,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
340,0.195,35.5,6.364,31,40,6.934,71,N3,L4+1,control,C3_N3_D1,41054.883
341,0.488,44.6,14.1,30,61,21.777,223,N3,L4+1,control,C3_N3_D1,41054.883
342,0.977,38.7,10.133,30,56,37.793,387,N3,L4+1,control,C3_N3_D1,41054.883
343,0.391,37.75,3.096,35,42,14.746,151,N3,L4+1,control,C3_N3_D1,41054.883
344,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
345,0.293,45,10.149,36,56,13.184,135,N3,L4+1,control,C3_N3_D1,41054.883
346,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
347,0.195,37.5,3.536,35,40,7.324,75,N3,L4+1,control,C3_N3_D1,41054.883
348,0.195,32,2.828,30,34,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
349,0.195,31.5,0.707,31,32,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
350,1.367,43.429,9.541,31,61,59.375,608,N3,L4+1,control,C3_N3_D1,41054.883
351,1.074,42.182,9.207,32,64,45.312,464,N3,L4+1,control,C3_N3_D1,41054.883
352,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
353,0.586,37.333,7.84,30,47,21.875,224,N3,L4+1,control,C3_N3_D1,41054.883
354,1.465,37.4,4.763,32,46,54.785,561,N3,L4+1,control,C3_N3_D1,41054.883
355,3.906,42.675,10.108,30,66,166.699,1707,N3,L4+1,control,C3_N3_D1,41054.883
356,0.195,30.5,0.707,30,31,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
357,0.293,30.333,0.577,30,31,8.887,91,N3,L4+1,control,C3_N3_D1,41054.883
358,0.488,33.6,2.608,30,37,16.406,168,N3,L4+1,control,C3_N3_D1,41054.883
359,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
360,1.66,38.176,6.317,30,52,63.379,649,N3,L4+1,control,C3_N3_D1,41054.883
361,0.098,42,0,42,42,4.102,42,N3,L4+1,control,C3_N3_D1,41054.883
362,0.195,32,2.828,30,34,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
363,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C3_N3_D1,41054.883
364,0.586,41.167,7.195,35,54,24.121,247,N3,L4+1,control,C3_N3_D1,41054.883
365,1.074,46.909,8.848,31,56,50.391,516,N3,L4+1,control,C3_N3_D1,41054.883
366,0.684,43.286,10.062,32,57,29.59,303,N3,L4+1,control,C3_N3_D1,41054.883
367,0.391,64.75,1.893,62,66,25.293,259,N3,L4+1,control,C3_N3_D1,41054.883
368,0.391,31.75,1.708,30,34,12.402,127,N3,L4+1,control,C3_N3_D1,41054.883
369,0.195,35,1.414,34,36,6.836,70,N3,L4+1,control,C3_N3_D1,41054.883
370,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
371,0.195,65,1.414,64,66,12.695,130,N3,L4+1,control,C3_N3_D1,41054.883
372,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
373,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
374,0.195,65,0,65,65,12.695,130,N3,L4+1,control,C3_N3_D1,41054.883
375,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
376,0.195,32,1.414,31,33,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
377,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
378,2.148,60.045,4.413,52,66,129.004,1321,N3,L4+1,control,C3_N3_D1,41054.883
379,0.195,65,0,65,65,12.695,130,N3,L4+1,control,C3_N3_D1,41054.883
380,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
381,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
382,9.668,53.384,10.359,31,66,516.113,5285,N3,L4+1,control,C3_N3_D1,41054.883
383,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
384,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
385,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
386,0.195,63.5,0.707,63,64,12.402,127,N3,L4+1,control,C3_N3_D1,41054.883
387,1.172,60,4.285,54,66,70.312,720,N3,L4+1,control,C3_N3_D1,41054.883
388,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
389,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
390,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
391,0.293,40.333,11.846,33,54,11.816,121,N3,L4+1,control,C3_N3_D1,41054.883
392,0.391,30.5,0.577,30,31,11.914,122,N3,L4+1,control,C3_N3_D1,41054.883
393,0.098,49,0,49,49,4.785,49,N3,L4+1,control,C3_N3_D1,41054.883
394,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
395,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C3_N3_D1,41054.883
396,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
397,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
398,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
399,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
400,0.391,64,1.414,62,65,25,256,N3,L4+1,control,C3_N3_D1,41054.883
401,0.293,64,2,62,66,18.75,192,N3,L4+1,control,C3_N3_D1,41054.883
402,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
403,0.586,61,2.28,58,65,35.742,366,N3,L4+1,control,C3_N3_D1,41054.883
404,0.195,64,2.828,62,66,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
405,0.195,30,0,30,30,5.859,60,N3,L4+1,control,C3_N3_D1,41054.883
406,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
407,0.195,63.5,0.707,63,64,12.402,127,N3,L4+1,control,C3_N3_D1,41054.883
408,5.078,52.192,10.082,32,66,265.039,2714,N3,L4+1,control,C3_N3_D1,41054.883
409,0.586,31.833,3.545,30,39,18.652,191,N3,L4+1,control,C3_N3_D1,41054.883
410,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
411,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
412,0.391,38.5,7.681,32,47,15.039,154,N3,L4+1,control,C3_N3_D1,41054.883
413,0.195,32.5,0.707,32,33,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
414,0.098,47,0,47,47,4.59,47,N3,L4+1,control,C3_N3_D1,41054.883
415,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
416,0.781,62.75,4.234,54,66,49.023,502,N3,L4+1,control,C3_N3_D1,41054.883
417,0.098,61,0,61,61,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
418,1.758,57.167,5.294,47,66,100.488,1029,N3,L4+1,control,C3_N3_D1,41054.883
419,0.293,64.667,1.528,63,66,18.945,194,N3,L4+1,control,C3_N3_D1,41054.883
420,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C3_N3_D1,41054.883
421,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C3_N3_D1,41054.883
422,0.293,46.333,13.051,36,61,13.574,139,N3,L4+1,control,C3_N3_D1,41054.883
423,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
424,0.195,52,1.414,51,53,10.156,104,N3,L4+1,control,C3_N3_D1,41054.883
425,0.195,41,15.556,30,52,8.008,82,N3,L4+1,control,C3_N3_D1,41054.883
426,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C3_N3_D1,41054.883
427,0.586,62.333,1.751,59,64,36.523,374,N3,L4+1,control,C3_N3_D1,41054.883
428,1.562,62.188,3.124,56,66,97.168,995,N3,L4+1,control,C3_N3_D1,41054.883
429,0.488,60,3.742,55,65,29.297,300,N3,L4+1,control,C3_N3_D1,41054.883
430,0.586,64.5,1.761,62,66,37.793,387,N3,L4+1,control,C3_N3_D1,41054.883
431,1.172,59.417,5.368,50,66,69.629,713,N3,L4+1,control,C3_N3_D1,41054.883
432,0.684,53.143,11.866,36,65,36.328,372,N3,L4+1,control,C3_N3_D1,41054.883
433,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
434,0.195,52,5.657,48,56,10.156,104,N3,L4+1,control,C3_N3_D1,41054.883
435,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
436,1.27,48.154,13.146,31,66,61.133,626,N3,L4+1,control,C3_N3_D1,41054.883
437,3.906,52.95,11.168,30,66,206.836,2118,N3,L4+1,control,C3_N3_D1,41054.883
438,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
439,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
440,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
441,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C3_N3_D1,41054.883
442,0.098,60,0,60,60,5.859,60,N3,L4+1,control,C3_N3_D1,41054.883
443,0.293,63.333,4.619,58,66,18.555,190,N3,L4+1,control,C3_N3_D1,41054.883
444,0.195,64,2.828,62,66,12.5,128,N3,L4+1,control,C3_N3_D1,41054.883
445,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
446,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C3_N3_D1,41054.883
447,0.293,63.667,1.528,62,65,18.652,191,N3,L4+1,control,C3_N3_D1,41054.883
448,0.391,61.75,3.202,57,64,24.121,247,N3,L4+1,control,C3_N3_D1,41054.883
449,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C3_N3_D1,41054.883
450,2.051,57.476,6.408,40,66,117.871,1207,N3,L4+1,control,C3_N3_D1,41054.883
451,0.293,49.667,9.713,39,58,14.551,149,N3,L4+1,control,C3_N3_D1,41054.883
452,0.488,46.6,14.046,32,65,22.754,233,N3,L4+1,control,C3_N3_D1,41054.883
453,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
454,0.098,49,0,49,49,4.785,49,N3,L4+1,control,C3_N3_D1,41054.883
455,0.781,64.625,1.506,63,66,50.488,517,N3,L4+1,control,C3_N3_D1,41054.883
456,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
457,0.293,61,3.464,59,65,17.871,183,N3,L4+1,control,C3_N3_D1,41054.883
458,0.293,62.333,3.512,59,66,18.262,187,N3,L4+1,control,C3_N3_D1,41054.883
459,0.195,65,1.414,64,66,12.695,130,N3,L4+1,control,C3_N3_D1,41054.883
460,0.293,53,10.536,42,63,15.527,159,N3,L4+1,control,C3_N3_D1,41054.883
461,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C3_N3_D1,41054.883
462,0.098,61,0,61,61,5.957,61,N3,L4+1,control,C3_N3_D1,41054.883
463,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C3_N3_D1,41054.883
464,0.098,48,0,48,48,4.688,48,N3,L4+1,control,C3_N3_D1,41054.883
465,0.195,45,12.728,36,54,8.789,90,N3,L4+1,control,C3_N3_D1,41054.883
