aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,1.172,47.5,9.83,36,64,55.664,570,N1,L4+1,control,C1_N1_D1,37947.656
2,0.586,45.833,12.891,35,65,26.855,275,N1,L4+1,control,C1_N1_D1,37947.656
3,0.098,32,0,32,32,3.125,32,N1,L4+1,control,C1_N1_D1,37947.656
4,0.195,48.5,21.92,33,64,9.473,97,N1,L4+1,control,C1_N1_D1,37947.656
5,0.098,42,0,42,42,4.102,42,N1,L4+1,control,C1_N1_D1,37947.656
6,0.098,38,0,38,38,3.711,38,N1,L4+1,control,C1_N1_D1,37947.656
7,0.195,59.5,2.121,58,61,11.621,119,N1,L4+1,control,C1_N1_D1,37947.656
8,3.32,42.588,10.844,30,65,141.406,1448,N1,L4+1,control,C1_N1_D1,37947.656
9,0.293,33,3,30,36,9.668,99,N1,L4+1,control,C1_N1_D1,37947.656
10,0.195,34,1.414,33,35,6.641,68,N1,L4+1,control,C1_N1_D1,37947.656
11,0.195,38,2.828,36,40,7.422,76,N1,L4+1,control,C1_N1_D1,37947.656
12,0.293,44,12.124,33,57,12.891,132,N1,L4+1,control,C1_N1_D1,37947.656
13,0.586,38.5,6.473,32,49,22.559,231,N1,L4+1,control,C1_N1_D1,37947.656
14,0.195,39,11.314,31,47,7.617,78,N1,L4+1,control,C1_N1_D1,37947.656
15,0.391,39.75,8.342,32,50,15.527,159,N1,L4+1,control,C1_N1_D1,37947.656
16,0.195,51.5,9.192,45,58,10.059,103,N1,L4+1,control,C1_N1_D1,37947.656
17,0.781,38.875,9.141,30,58,30.371,311,N1,L4+1,control,C1_N1_D1,37947.656
18,0.098,31,0,31,31,3.027,31,N1,L4+1,control,C1_N1_D1,37947.656
19,0.195,37.5,3.536,35,40,7.324,75,N1,L4+1,control,C1_N1_D1,37947.656
20,1.074,39.091,8.36,30,60,41.992,430,N1,L4+1,control,C1_N1_D1,37947.656
21,0.195,43,16.971,31,55,8.398,86,N1,L4+1,control,C1_N1_D1,37947.656
22,0.195,46,18.385,33,59,8.984,92,N1,L4+1,control,C1_N1_D1,37947.656
23,0.293,34.333,4.041,32,39,10.059,103,N1,L4+1,control,C1_N1_D1,37947.656
24,0.195,37,8.485,31,43,7.227,74,N1,L4+1,control,C1_N1_D1,37947.656
25,0.391,38.75,10.626,31,54,15.137,155,N1,L4+1,control,C1_N1_D1,37947.656
26,0.293,36.667,7.234,32,45,10.742,110,N1,L4+1,control,C1_N1_D1,37947.656
