aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.195,35.5,7.778,30,41,6.934,71,N3,L4+1,control,C2_N3_D1,32224.219
2,8.691,44.202,9.863,30,66,384.18,3934,N3,L4+1,control,C2_N3_D1,32224.219
3,1.758,44.556,9.401,34,63,78.32,802,N3,L4+1,control,C2_N3_D1,32224.219
4,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
5,0.098,41,0,41,41,4.004,41,N3,L4+1,control,C2_N3_D1,32224.219
6,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
7,0.879,42.889,8.313,30,60,37.695,386,N3,L4+1,control,C2_N3_D1,32224.219
8,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
9,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C2_N3_D1,32224.219
10,0.293,40.333,6.11,35,47,11.816,121,N3,L4+1,control,C2_N3_D1,32224.219
11,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
12,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
13,4.59,44.277,6.671,31,56,203.223,2081,N3,L4+1,control,C2_N3_D1,32224.219
14,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
15,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
16,0.293,37.333,12.702,30,52,10.938,112,N3,L4+1,control,C2_N3_D1,32224.219
17,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
18,0.195,49,1.414,48,50,9.57,98,N3,L4+1,control,C2_N3_D1,32224.219
19,5.469,39.75,6.815,30,54,217.383,2226,N3,L4+1,control,C2_N3_D1,32224.219
20,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
21,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
22,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
23,3.516,33.222,2.996,30,41,116.797,1196,N3,L4+1,control,C2_N3_D1,32224.219
24,0.195,30,0,30,30,5.859,60,N3,L4+1,control,C2_N3_D1,32224.219
25,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
26,0.684,36.571,3.101,32,40,25,256,N3,L4+1,control,C2_N3_D1,32224.219
27,0.195,40,8.485,34,46,7.812,80,N3,L4+1,control,C2_N3_D1,32224.219
28,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
29,0.293,41,4.583,36,45,12.012,123,N3,L4+1,control,C2_N3_D1,32224.219
30,0.684,36.714,6.525,30,49,25.098,257,N3,L4+1,control,C2_N3_D1,32224.219
31,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
32,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C2_N3_D1,32224.219
33,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C2_N3_D1,32224.219
34,0.488,43,12.629,31,63,20.996,215,N3,L4+1,control,C2_N3_D1,32224.219
35,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
36,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
37,0.195,42,2.828,40,44,8.203,84,N3,L4+1,control,C2_N3_D1,32224.219
38,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
39,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
40,0.293,30,0,30,30,8.789,90,N3,L4+1,control,C2_N3_D1,32224.219
41,0.293,31,1,30,32,9.082,93,N3,L4+1,control,C2_N3_D1,32224.219
42,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
43,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
44,0.098,41,0,41,41,4.004,41,N3,L4+1,control,C2_N3_D1,32224.219
45,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
46,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
47,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C2_N3_D1,32224.219
48,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
49,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
50,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C2_N3_D1,32224.219
51,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
52,0.195,32,1.414,31,33,6.25,64,N3,L4+1,control,C2_N3_D1,32224.219
53,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
54,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
55,0.293,49.667,14.572,36,65,14.551,149,N3,L4+1,control,C2_N3_D1,32224.219
56,0.195,58.5,7.778,53,64,11.426,117,N3,L4+1,control,C2_N3_D1,32224.219
57,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
58,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
59,2.832,47.793,9.726,33,66,135.352,1386,N3,L4+1,control,C2_N3_D1,32224.219
60,0.293,39,5.568,33,44,11.426,117,N3,L4+1,control,C2_N3_D1,32224.219
61,0.195,36.5,3.536,34,39,7.129,73,N3,L4+1,control,C2_N3_D1,32224.219
62,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
63,0.391,64.5,1.291,63,66,25.195,258,N3,L4+1,control,C2_N3_D1,32224.219
64,0.098,37,0,37,37,3.613,37,N3,L4+1,control,C2_N3_D1,32224.219
65,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
66,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C2_N3_D1,32224.219
67,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
68,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
69,0.195,65,1.414,64,66,12.695,130,N3,L4+1,control,C2_N3_D1,32224.219
70,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
71,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
72,0.195,33,4.243,30,36,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
73,0.098,32,0,32,32,3.125,32,N3,L4+1,control,C2_N3_D1,32224.219
74,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
75,0.098,35,0,35,35,3.418,35,N3,L4+1,control,C2_N3_D1,32224.219
76,0.586,43.5,6.656,34,50,25.488,261,N3,L4+1,control,C2_N3_D1,32224.219
77,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
78,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C2_N3_D1,32224.219
79,0.195,49.5,9.192,43,56,9.668,99,N3,L4+1,control,C2_N3_D1,32224.219
80,0.195,31.5,2.121,30,33,6.152,63,N3,L4+1,control,C2_N3_D1,32224.219
81,0.488,62.4,2.608,58,64,30.469,312,N3,L4+1,control,C2_N3_D1,32224.219
82,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
83,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
84,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C2_N3_D1,32224.219
85,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
86,0.586,63.333,1.966,61,65,37.109,380,N3,L4+1,control,C2_N3_D1,32224.219
87,0.195,62,2.828,60,64,12.109,124,N3,L4+1,control,C2_N3_D1,32224.219
88,5.566,59.298,4.928,49,66,330.078,3380,N3,L4+1,control,C2_N3_D1,32224.219
89,0.488,31.8,1.643,30,33,15.527,159,N3,L4+1,control,C2_N3_D1,32224.219
90,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
91,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
92,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
93,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
94,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
95,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C2_N3_D1,32224.219
96,0.684,50.571,9.572,31,60,34.57,354,N3,L4+1,control,C2_N3_D1,32224.219
97,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C2_N3_D1,32224.219
98,1.562,61.188,3.209,57,66,95.605,979,N3,L4+1,control,C2_N3_D1,32224.219
99,0.098,64,0,64,64,6.25,64,N3,L4+1,control,C2_N3_D1,32224.219
100,0.293,32,1,31,33,9.375,96,N3,L4+1,control,C2_N3_D1,32224.219
101,0.098,40,0,40,40,3.906,40,N3,L4+1,control,C2_N3_D1,32224.219
102,2.148,35.227,2.894,31,41,75.684,775,N3,L4+1,control,C2_N3_D1,32224.219
103,4.395,58.689,5.156,44,66,257.91,2641,N3,L4+1,control,C2_N3_D1,32224.219
104,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
105,0.195,32,0,32,32,6.25,64,N3,L4+1,control,C2_N3_D1,32224.219
106,0.195,66,0,66,66,12.891,132,N3,L4+1,control,C2_N3_D1,32224.219
107,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C2_N3_D1,32224.219
108,0.098,33,0,33,33,3.223,33,N3,L4+1,control,C2_N3_D1,32224.219
109,0.488,32.8,2.168,30,36,16.016,164,N3,L4+1,control,C2_N3_D1,32224.219
110,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
111,0.879,31.222,1.716,30,35,27.441,281,N3,L4+1,control,C2_N3_D1,32224.219
112,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
113,0.098,34,0,34,34,3.32,34,N3,L4+1,control,C2_N3_D1,32224.219
114,0.391,54.5,14.364,33,63,21.289,218,N3,L4+1,control,C2_N3_D1,32224.219
115,19.727,58.074,5.895,42,66,1145.605,11731,N3,L4+1,control,C2_N3_D1,32224.219
116,0.391,65,1.414,63,66,25.391,260,N3,L4+1,control,C2_N3_D1,32224.219
117,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C2_N3_D1,32224.219
118,0.488,31.8,1.483,30,34,15.527,159,N3,L4+1,control,C2_N3_D1,32224.219
119,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
120,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C2_N3_D1,32224.219
121,0.098,63,0,63,63,6.152,63,N3,L4+1,control,C2_N3_D1,32224.219
122,0.098,58,0,58,58,5.664,58,N3,L4+1,control,C2_N3_D1,32224.219
123,0.293,61.667,4.163,57,65,18.066,185,N3,L4+1,control,C2_N3_D1,32224.219
124,9.18,52.266,8.091,36,66,479.785,4913,N3,L4+1,control,C2_N3_D1,32224.219
125,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
126,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
127,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
128,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
129,0.684,63.429,2.37,60,66,43.359,444,N3,L4+1,control,C2_N3_D1,32224.219
130,0.488,35,2.121,33,38,17.09,175,N3,L4+1,control,C2_N3_D1,32224.219
131,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
132,0.488,64.6,1.14,63,66,31.543,323,N3,L4+1,control,C2_N3_D1,32224.219
133,1.074,41.091,11.167,32,64,44.141,452,N3,L4+1,control,C2_N3_D1,32224.219
134,0.293,30.333,0.577,30,31,8.887,91,N3,L4+1,control,C2_N3_D1,32224.219
135,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
136,0.586,58.333,5.007,52,66,34.18,350,N3,L4+1,control,C2_N3_D1,32224.219
137,0.098,65,0,65,65,6.348,65,N3,L4+1,control,C2_N3_D1,32224.219
138,0.293,64,2.646,61,66,18.75,192,N3,L4+1,control,C2_N3_D1,32224.219
139,0.098,62,0,62,62,6.055,62,N3,L4+1,control,C2_N3_D1,32224.219
140,0.293,62.667,2.309,60,64,18.359,188,N3,L4+1,control,C2_N3_D1,32224.219
141,0.098,61,0,61,61,5.957,61,N3,L4+1,control,C2_N3_D1,32224.219
142,0.195,66,0,66,66,12.891,132,N3,L4+1,control,C2_N3_D1,32224.219
143,0.195,63.5,0.707,63,64,12.402,127,N3,L4+1,control,C2_N3_D1,32224.219
144,0.195,61.5,3.536,59,64,12.012,123,N3,L4+1,control,C2_N3_D1,32224.219
145,0.098,36,0,36,36,3.516,36,N3,L4+1,control,C2_N3_D1,32224.219
146,0.098,60,0,60,60,5.859,60,N3,L4+1,control,C2_N3_D1,32224.219
147,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
148,0.293,64.333,0.577,64,65,18.848,193,N3,L4+1,control,C2_N3_D1,32224.219
149,1.27,33.077,2.783,30,40,41.992,430,N3,L4+1,control,C2_N3_D1,32224.219
150,0.098,66,0,66,66,6.445,66,N3,L4+1,control,C2_N3_D1,32224.219
151,0.391,44,11.69,32,55,17.188,176,N3,L4+1,control,C2_N3_D1,32224.219
152,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
153,0.098,31,0,31,31,3.027,31,N3,L4+1,control,C2_N3_D1,32224.219
154,0.488,33.6,2.702,30,37,16.406,168,N3,L4+1,control,C2_N3_D1,32224.219
155,3.418,48.057,8.677,33,65,164.258,1682,N3,L4+1,control,C2_N3_D1,32224.219
156,0.391,37.5,9.256,30,51,14.648,150,N3,L4+1,control,C2_N3_D1,32224.219
157,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
158,0.098,30,0,30,30,2.93,30,N3,L4+1,control,C2_N3_D1,32224.219
159,1.367,60.929,2.303,57,65,83.301,853,N3,L4+1,control,C2_N3_D1,32224.219
160,0.195,32,0,32,32,6.25,64,N3,L4+1,control,C2_N3_D1,32224.219
