aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,2.637,35.37,4.609,30,47,93.262,955,N1,L4+1,mannitol,M3_N1_D1,41182.422
2,0.098,38,0,38,38,3.711,38,N1,L4+1,mannitol,M3_N1_D1,41182.422
3,0.781,33.375,2.326,31,37,26.074,267,N1,L4+1,mannitol,M3_N1_D1,41182.422
4,0.977,32.7,3.433,30,40,31.934,327,N1,L4+1,mannitol,M3_N1_D1,41182.422
5,1.27,35.538,6.463,30,47,45.117,462,N1,L4+1,mannitol,M3_N1_D1,41182.422
6,0.293,31.667,2.082,30,34,9.277,95,N1,L4+1,mannitol,M3_N1_D1,41182.422
7,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
8,0.391,33.75,4.924,30,41,13.184,135,N1,L4+1,mannitol,M3_N1_D1,41182.422
9,0.977,35.8,3.36,30,40,34.961,358,N1,L4+1,mannitol,M3_N1_D1,41182.422
10,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
11,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
12,0.098,35,0,35,35,3.418,35,N1,L4+1,mannitol,M3_N1_D1,41182.422
13,0.195,32.5,2.121,31,34,6.348,65,N1,L4+1,mannitol,M3_N1_D1,41182.422
14,1.074,35,5.441,30,46,37.598,385,N1,L4+1,mannitol,M3_N1_D1,41182.422
15,0.781,32.75,3.495,30,40,25.586,262,N1,L4+1,mannitol,M3_N1_D1,41182.422
16,0.586,32.833,3.601,30,40,19.238,197,N1,L4+1,mannitol,M3_N1_D1,41182.422
17,0.586,35,4.858,30,43,20.508,210,N1,L4+1,mannitol,M3_N1_D1,41182.422
18,2.832,37.172,5.346,30,48,105.273,1078,N1,L4+1,mannitol,M3_N1_D1,41182.422
19,0.195,30,0,30,30,5.859,60,N1,L4+1,mannitol,M3_N1_D1,41182.422
20,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
21,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
22,4.297,38.5,6.09,30,54,165.43,1694,N1,L4+1,mannitol,M3_N1_D1,41182.422
23,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
24,0.488,31.8,2.049,30,34,15.527,159,N1,L4+1,mannitol,M3_N1_D1,41182.422
25,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M3_N1_D1,41182.422
26,0.293,32.667,2.517,30,35,9.57,98,N1,L4+1,mannitol,M3_N1_D1,41182.422
27,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
28,0.391,30.75,0.957,30,32,12.012,123,N1,L4+1,mannitol,M3_N1_D1,41182.422
29,0.195,38,2.828,36,40,7.422,76,N1,L4+1,mannitol,M3_N1_D1,41182.422
30,0.098,35,0,35,35,3.418,35,N1,L4+1,mannitol,M3_N1_D1,41182.422
31,0.098,38,0,38,38,3.711,38,N1,L4+1,mannitol,M3_N1_D1,41182.422
32,0.098,39,0,39,39,3.809,39,N1,L4+1,mannitol,M3_N1_D1,41182.422
33,0.195,34,1.414,33,35,6.641,68,N1,L4+1,mannitol,M3_N1_D1,41182.422
34,0.098,35,0,35,35,3.418,35,N1,L4+1,mannitol,M3_N1_D1,41182.422
35,0.195,31,0,31,31,6.055,62,N1,L4+1,mannitol,M3_N1_D1,41182.422
36,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
37,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
38,0.391,33.25,3.948,30,39,12.988,133,N1,L4+1,mannitol,M3_N1_D1,41182.422
39,0.195,31.5,2.121,30,33,6.152,63,N1,L4+1,mannitol,M3_N1_D1,41182.422
40,0.293,40,3,37,43,11.719,120,N1,L4+1,mannitol,M3_N1_D1,41182.422
41,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M3_N1_D1,41182.422
42,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
43,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
44,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
45,0.391,32.25,2.63,30,36,12.598,129,N1,L4+1,mannitol,M3_N1_D1,41182.422
46,0.195,34,2.828,32,36,6.641,68,N1,L4+1,mannitol,M3_N1_D1,41182.422
47,0.195,33,4.243,30,36,6.445,66,N1,L4+1,mannitol,M3_N1_D1,41182.422
48,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
49,0.391,44.5,11.733,34,57,17.383,178,N1,L4+1,mannitol,M3_N1_D1,41182.422
50,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
51,0.195,31.5,0.707,31,32,6.152,63,N1,L4+1,mannitol,M3_N1_D1,41182.422
52,0.195,34.5,3.536,32,37,6.738,69,N1,L4+1,mannitol,M3_N1_D1,41182.422
53,0.391,31,1.155,30,32,12.109,124,N1,L4+1,mannitol,M3_N1_D1,41182.422
54,0.293,62.333,2.517,60,65,18.262,187,N1,L4+1,mannitol,M3_N1_D1,41182.422
55,0.293,32.667,3.786,30,37,9.57,98,N1,L4+1,mannitol,M3_N1_D1,41182.422
56,0.391,35,3.916,30,39,13.672,140,N1,L4+1,mannitol,M3_N1_D1,41182.422
57,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
58,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
59,1.562,37.25,5.961,30,48,58.203,596,N1,L4+1,mannitol,M3_N1_D1,41182.422
60,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
61,2.051,38.333,7.651,30,61,78.613,805,N1,L4+1,mannitol,M3_N1_D1,41182.422
62,0.781,35.375,3.739,31,42,27.637,283,N1,L4+1,mannitol,M3_N1_D1,41182.422
63,2.441,44.96,10.628,30,65,109.766,1124,N1,L4+1,mannitol,M3_N1_D1,41182.422
64,0.098,36,0,36,36,3.516,36,N1,L4+1,mannitol,M3_N1_D1,41182.422
65,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
66,1.367,40.929,7.227,31,53,55.957,573,N1,L4+1,mannitol,M3_N1_D1,41182.422
67,0.391,34,3.916,30,39,13.281,136,N1,L4+1,mannitol,M3_N1_D1,41182.422
68,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
69,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
70,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M3_N1_D1,41182.422
71,0.391,34.75,2.872,31,38,13.574,139,N1,L4+1,mannitol,M3_N1_D1,41182.422
72,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
73,0.391,30.75,1.5,30,33,12.012,123,N1,L4+1,mannitol,M3_N1_D1,41182.422
74,1.172,41.833,10.321,30,61,49.023,502,N1,L4+1,mannitol,M3_N1_D1,41182.422
75,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
76,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
77,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
78,0.098,61,0,61,61,5.957,61,N1,L4+1,mannitol,M3_N1_D1,41182.422
79,1.367,31.643,1.823,30,35,43.262,443,N1,L4+1,mannitol,M3_N1_D1,41182.422
80,1.465,36.667,6.377,30,54,53.711,550,N1,L4+1,mannitol,M3_N1_D1,41182.422
81,0.293,35,4,31,39,10.254,105,N1,L4+1,mannitol,M3_N1_D1,41182.422
82,0.586,46.5,10.691,30,60,27.246,279,N1,L4+1,mannitol,M3_N1_D1,41182.422
83,0.293,31.333,1.528,30,33,9.18,94,N1,L4+1,mannitol,M3_N1_D1,41182.422
84,0.586,50.5,11.554,36,66,29.59,303,N1,L4+1,mannitol,M3_N1_D1,41182.422
85,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
86,0.195,32,2.828,30,34,6.25,64,N1,L4+1,mannitol,M3_N1_D1,41182.422
87,0.977,34.3,4.473,30,42,33.496,343,N1,L4+1,mannitol,M3_N1_D1,41182.422
88,0.586,36.833,6.242,30,45,21.582,221,N1,L4+1,mannitol,M3_N1_D1,41182.422
89,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
90,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
91,0.195,36,1.414,35,37,7.031,72,N1,L4+1,mannitol,M3_N1_D1,41182.422
92,0.879,35.333,3.937,31,41,31.055,318,N1,L4+1,mannitol,M3_N1_D1,41182.422
93,0.977,32.7,1.418,31,35,31.934,327,N1,L4+1,mannitol,M3_N1_D1,41182.422
94,0.293,32.667,4.619,30,38,9.57,98,N1,L4+1,mannitol,M3_N1_D1,41182.422
95,0.195,32,0,32,32,6.25,64,N1,L4+1,mannitol,M3_N1_D1,41182.422
96,0.195,30.5,0.707,30,31,5.957,61,N1,L4+1,mannitol,M3_N1_D1,41182.422
97,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
98,0.781,37,4.899,30,47,28.906,296,N1,L4+1,mannitol,M3_N1_D1,41182.422
99,0.586,37.5,8.456,31,54,21.973,225,N1,L4+1,mannitol,M3_N1_D1,41182.422
100,2.734,35.25,3.307,30,45,96.387,987,N1,L4+1,mannitol,M3_N1_D1,41182.422
101,0.195,30,0,30,30,5.859,60,N1,L4+1,mannitol,M3_N1_D1,41182.422
102,0.195,34,5.657,30,38,6.641,68,N1,L4+1,mannitol,M3_N1_D1,41182.422
103,0.098,32,0,32,32,3.125,32,N1,L4+1,mannitol,M3_N1_D1,41182.422
104,0.684,36.714,6.448,30,46,25.098,257,N1,L4+1,mannitol,M3_N1_D1,41182.422
105,0.488,33.2,4.438,30,41,16.211,166,N1,L4+1,mannitol,M3_N1_D1,41182.422
106,0.195,35.5,2.121,34,37,6.934,71,N1,L4+1,mannitol,M3_N1_D1,41182.422
107,1.367,37.357,6.652,30,52,51.074,523,N1,L4+1,mannitol,M3_N1_D1,41182.422
108,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M3_N1_D1,41182.422
109,0.098,31,0,31,31,3.027,31,N1,L4+1,mannitol,M3_N1_D1,41182.422
110,0.195,33.5,0.707,33,34,6.543,67,N1,L4+1,mannitol,M3_N1_D1,41182.422
111,0.293,33.667,3.512,30,37,9.863,101,N1,L4+1,mannitol,M3_N1_D1,41182.422
112,0.098,30,0,30,30,2.93,30,N1,L4+1,mannitol,M3_N1_D1,41182.422
113,2.539,36.385,3.753,30,44,92.383,946,N1,L4+1,mannitol,M3_N1_D1,41182.422
114,0.098,33,0,33,33,3.223,33,N1,L4+1,mannitol,M3_N1_D1,41182.422
