aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.195,37.5,0.707,37,38,7.324,75,N2,L4+14,control,C3_N2_D3,71259.813
2,0.098,33,0,33,33,3.223,33,N2,L4+14,control,C3_N2_D3,71259.813
3,0.195,36.5,6.364,32,41,7.129,73,N2,L4+14,control,C3_N2_D3,71259.813
4,0.586,36,4.382,33,44,21.094,216,N2,L4+14,control,C3_N2_D3,71259.813
5,0.781,45.875,8.459,30,58,35.84,367,N2,L4+14,control,C3_N2_D3,71259.813
6,0.098,49,0,49,49,4.785,49,N2,L4+14,control,C3_N2_D3,71259.813
7,0.293,52.667,7.024,46,60,15.43,158,N2,L4+14,control,C3_N2_D3,71259.813
8,0.293,37,7,32,45,10.84,111,N2,L4+14,control,C3_N2_D3,71259.813
9,0.293,45.667,9.074,36,54,13.379,137,N2,L4+14,control,C3_N2_D3,71259.813
10,0.195,46.5,16.263,35,58,9.082,93,N2,L4+14,control,C3_N2_D3,71259.813
11,0.195,38.5,12.021,30,47,7.52,77,N2,L4+14,control,C3_N2_D3,71259.813
12,0.586,48.167,9.704,36,63,28.223,289,N2,L4+14,control,C3_N2_D3,71259.813
13,0.195,39,9.899,32,46,7.617,78,N2,L4+14,control,C3_N2_D3,71259.813
14,0.098,54,0,54,54,5.273,54,N2,L4+14,control,C3_N2_D3,71259.813
15,0.195,47.5,12.021,39,56,9.277,95,N2,L4+14,control,C3_N2_D3,71259.813
16,0.098,55,0,55,55,5.371,55,N2,L4+14,control,C3_N2_D3,71259.813
17,0.195,58,8.485,52,64,11.328,116,N2,L4+14,control,C3_N2_D3,71259.813
18,0.098,54,0,54,54,5.273,54,N2,L4+14,control,C3_N2_D3,71259.813
19,0.195,35.5,2.121,34,37,6.934,71,N2,L4+14,control,C3_N2_D3,71259.813
20,0.098,60,0,60,60,5.859,60,N2,L4+14,control,C3_N2_D3,71259.813
21,0.293,46.667,12.583,35,60,13.672,140,N2,L4+14,control,C3_N2_D3,71259.813
22,0.293,43.667,12.583,32,57,12.793,131,N2,L4+14,control,C3_N2_D3,71259.813
23,0.195,49,18.385,36,62,9.57,98,N2,L4+14,control,C3_N2_D3,71259.813
24,0.195,38.5,0.707,38,39,7.52,77,N2,L4+14,control,C3_N2_D3,71259.813
25,0.586,48.667,12.094,34,65,28.516,292,N2,L4+14,control,C3_N2_D3,71259.813
26,0.098,34,0,34,34,3.32,34,N2,L4+14,control,C3_N2_D3,71259.813
27,0.195,41,4.243,38,44,8.008,82,N2,L4+14,control,C3_N2_D3,71259.813
28,0.195,44,11.314,36,52,8.594,88,N2,L4+14,control,C3_N2_D3,71259.813
29,0.391,43.75,12.553,35,62,17.09,175,N2,L4+14,control,C3_N2_D3,71259.813
30,0.391,40.75,11.087,31,55,15.918,163,N2,L4+14,control,C3_N2_D3,71259.813
31,0.098,30,0,30,30,2.93,30,N2,L4+14,control,C3_N2_D3,71259.813
