aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M2_N1_D3,85000.586
2,0.293,49,13.892,40,65,14.355,147,N1,L4+14,mannitol,M2_N1_D3,85000.586
3,0.195,32,2.828,30,34,6.25,64,N1,L4+14,mannitol,M2_N1_D3,85000.586
4,1.758,44.833,10.88,30,62,78.809,807,N1,L4+14,mannitol,M2_N1_D3,85000.586
5,0.098,39,0,39,39,3.809,39,N1,L4+14,mannitol,M2_N1_D3,85000.586
6,0.293,37.667,5.132,32,42,11.035,113,N1,L4+14,mannitol,M2_N1_D3,85000.586
7,0.098,46,0,46,46,4.492,46,N1,L4+14,mannitol,M2_N1_D3,85000.586
8,0.195,30.5,0.707,30,31,5.957,61,N1,L4+14,mannitol,M2_N1_D3,85000.586
9,0.195,56.5,7.778,51,62,11.035,113,N1,L4+14,mannitol,M2_N1_D3,85000.586
10,0.098,52,0,52,52,5.078,52,N1,L4+14,mannitol,M2_N1_D3,85000.586
11,0.586,40.833,4.792,36,47,23.926,245,N1,L4+14,mannitol,M2_N1_D3,85000.586
12,0.781,47,12.224,31,63,36.719,376,N1,L4+14,mannitol,M2_N1_D3,85000.586
13,0.684,48.286,12.23,30,66,33.008,338,N1,L4+14,mannitol,M2_N1_D3,85000.586
14,0.586,48,10.658,32,60,28.125,288,N1,L4+14,mannitol,M2_N1_D3,85000.586
15,0.098,40,0,40,40,3.906,40,N1,L4+14,mannitol,M2_N1_D3,85000.586
16,0.977,41.5,7.706,30,56,40.527,415,N1,L4+14,mannitol,M2_N1_D3,85000.586
17,0.098,47,0,47,47,4.59,47,N1,L4+14,mannitol,M2_N1_D3,85000.586
18,46.094,45.201,8.476,30,66,2083.496,21335,N1,L4+14,mannitol,M2_N1_D3,85000.586
19,0.293,34,1.732,32,35,9.961,102,N1,L4+14,mannitol,M2_N1_D3,85000.586
20,0.879,41,7.697,31,50,36.035,369,N1,L4+14,mannitol,M2_N1_D3,85000.586
21,0.391,52.5,10.344,41,65,20.508,210,N1,L4+14,mannitol,M2_N1_D3,85000.586
22,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M2_N1_D3,85000.586
23,0.391,46,14.119,33,65,17.969,184,N1,L4+14,mannitol,M2_N1_D3,85000.586
24,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M2_N1_D3,85000.586
25,0.098,66,0,66,66,6.445,66,N1,L4+14,mannitol,M2_N1_D3,85000.586
26,0.098,43,0,43,43,4.199,43,N1,L4+14,mannitol,M2_N1_D3,85000.586
27,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M2_N1_D3,85000.586
28,0.098,38,0,38,38,3.711,38,N1,L4+14,mannitol,M2_N1_D3,85000.586
29,0.195,54.5,12.021,46,63,10.645,109,N1,L4+14,mannitol,M2_N1_D3,85000.586
30,0.293,44,13.454,33,59,12.891,132,N1,L4+14,mannitol,M2_N1_D3,85000.586
31,0.195,36,0,36,36,7.031,72,N1,L4+14,mannitol,M2_N1_D3,85000.586
32,0.684,46.857,11.682,31,65,32.031,328,N1,L4+14,mannitol,M2_N1_D3,85000.586
33,0.195,43,2.828,41,45,8.398,86,N1,L4+14,mannitol,M2_N1_D3,85000.586
34,0.781,40.75,11.424,31,63,31.836,326,N1,L4+14,mannitol,M2_N1_D3,85000.586
35,0.488,51.2,16.392,31,66,25,256,N1,L4+14,mannitol,M2_N1_D3,85000.586
36,0.098,43,0,43,43,4.199,43,N1,L4+14,mannitol,M2_N1_D3,85000.586
37,0.195,45,7.071,40,50,8.789,90,N1,L4+14,mannitol,M2_N1_D3,85000.586
38,0.195,46.5,21.92,31,62,9.082,93,N1,L4+14,mannitol,M2_N1_D3,85000.586
39,0.195,47,15.556,36,58,9.18,94,N1,L4+14,mannitol,M2_N1_D3,85000.586
40,0.879,38.444,4.475,32,45,33.789,346,N1,L4+14,mannitol,M2_N1_D3,85000.586
41,0.098,50,0,50,50,4.883,50,N1,L4+14,mannitol,M2_N1_D3,85000.586
42,0.195,37.5,0.707,37,38,7.324,75,N1,L4+14,mannitol,M2_N1_D3,85000.586
43,0.098,52,0,52,52,5.078,52,N1,L4+14,mannitol,M2_N1_D3,85000.586
44,0.098,33,0,33,33,3.223,33,N1,L4+14,mannitol,M2_N1_D3,85000.586
45,0.098,31,0,31,31,3.027,31,N1,L4+14,mannitol,M2_N1_D3,85000.586
46,0.293,46,14,30,56,13.477,138,N1,L4+14,mannitol,M2_N1_D3,85000.586
47,0.098,35,0,35,35,3.418,35,N1,L4+14,mannitol,M2_N1_D3,85000.586
48,2.246,43.696,8.093,31,63,98.145,1005,N1,L4+14,mannitol,M2_N1_D3,85000.586
49,0.098,36,0,36,36,3.516,36,N1,L4+14,mannitol,M2_N1_D3,85000.586
50,0.098,48,0,48,48,4.688,48,N1,L4+14,mannitol,M2_N1_D3,85000.586
