aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C2_N2_D1,39589.648
2,1.758,33.111,2.349,30,38,58.203,596,N2,L4+1,control,C2_N2_D1,39589.648
3,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C2_N2_D1,39589.648
4,0.293,30.667,0.577,30,31,8.984,92,N2,L4+1,control,C2_N2_D1,39589.648
5,0.293,34,2,32,36,9.961,102,N2,L4+1,control,C2_N2_D1,39589.648
6,0.488,30.4,0.894,30,32,14.844,152,N2,L4+1,control,C2_N2_D1,39589.648
7,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C2_N2_D1,39589.648
8,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C2_N2_D1,39589.648
9,1.855,35.895,3.77,30,43,66.602,682,N2,L4+1,control,C2_N2_D1,39589.648
10,0.195,32,2.828,30,34,6.25,64,N2,L4+1,control,C2_N2_D1,39589.648
11,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C2_N2_D1,39589.648
12,0.195,30.5,0.707,30,31,5.957,61,N2,L4+1,control,C2_N2_D1,39589.648
13,0.293,33.667,3.512,30,37,9.863,101,N2,L4+1,control,C2_N2_D1,39589.648
14,0.098,34,0,34,34,3.32,34,N2,L4+1,control,C2_N2_D1,39589.648
15,0.879,34.556,2.603,30,38,30.371,311,N2,L4+1,control,C2_N2_D1,39589.648
16,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C2_N2_D1,39589.648
17,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C2_N2_D1,39589.648
18,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C2_N2_D1,39589.648
19,0.488,33.8,2.775,31,37,16.504,169,N2,L4+1,control,C2_N2_D1,39589.648
20,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C2_N2_D1,39589.648
21,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C2_N2_D1,39589.648
22,0.098,36,0,36,36,3.516,36,N2,L4+1,control,C2_N2_D1,39589.648
23,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C2_N2_D1,39589.648
24,1.172,32.083,1.505,30,35,37.598,385,N2,L4+1,control,C2_N2_D1,39589.648
25,0.586,32.167,1.722,30,35,18.848,193,N2,L4+1,control,C2_N2_D1,39589.648
26,0.098,65,0,65,65,6.348,65,N2,L4+1,control,C2_N2_D1,39589.648
27,1.27,34.692,3.816,30,40,44.043,451,N2,L4+1,control,C2_N2_D1,39589.648
28,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C2_N2_D1,39589.648
29,0.684,31.857,0.9,31,33,21.777,223,N2,L4+1,control,C2_N2_D1,39589.648
30,0.293,31.333,2.309,30,34,9.18,94,N2,L4+1,control,C2_N2_D1,39589.648
