aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.293,49.333,14.468,40,66,14.453,148,N3,L4+7,control,C1_N3_D2,89304.199
2,0.391,46.25,11.236,39,63,18.066,185,N3,L4+7,control,C1_N3_D2,89304.199
3,0.195,54,9.899,47,61,10.547,108,N3,L4+7,control,C1_N3_D2,89304.199
4,1.074,45.182,11.444,30,63,48.535,497,N3,L4+7,control,C1_N3_D2,89304.199
5,0.195,46,16.971,34,58,8.984,92,N3,L4+7,control,C1_N3_D2,89304.199
6,0.293,53,6.083,46,57,15.527,159,N3,L4+7,control,C1_N3_D2,89304.199
7,0.586,47,7.376,39,57,27.539,282,N3,L4+7,control,C1_N3_D2,89304.199
8,0.488,43.2,6.458,34,49,21.094,216,N3,L4+7,control,C1_N3_D2,89304.199
9,0.098,31,0,31,31,3.027,31,N3,L4+7,control,C1_N3_D2,89304.199
10,0.195,31.5,2.121,30,33,6.152,63,N3,L4+7,control,C1_N3_D2,89304.199
11,0.293,44.667,4.041,40,47,13.086,134,N3,L4+7,control,C1_N3_D2,89304.199
12,0.195,38.5,3.536,36,41,7.52,77,N3,L4+7,control,C1_N3_D2,89304.199
13,0.488,54.8,11.777,42,65,26.758,274,N3,L4+7,control,C1_N3_D2,89304.199
14,1.074,50.636,13.321,31,65,54.395,557,N3,L4+7,control,C1_N3_D2,89304.199
15,0.098,32,0,32,32,3.125,32,N3,L4+7,control,C1_N3_D2,89304.199
16,0.098,31,0,31,31,3.027,31,N3,L4+7,control,C1_N3_D2,89304.199
17,0.195,32,1.414,31,33,6.25,64,N3,L4+7,control,C1_N3_D2,89304.199
18,0.195,58.5,0.707,58,59,11.426,117,N3,L4+7,control,C1_N3_D2,89304.199
19,0.195,50,22.627,34,66,9.766,100,N3,L4+7,control,C1_N3_D2,89304.199
20,0.684,46.286,10.797,31,59,31.641,324,N3,L4+7,control,C1_N3_D2,89304.199
21,0.098,54,0,54,54,5.273,54,N3,L4+7,control,C1_N3_D2,89304.199
22,0.977,49.9,12.032,31,65,48.73,499,N3,L4+7,control,C1_N3_D2,89304.199
23,0.098,58,0,58,58,5.664,58,N3,L4+7,control,C1_N3_D2,89304.199
24,0.098,39,0,39,39,3.809,39,N3,L4+7,control,C1_N3_D2,89304.199
25,0.293,39.667,5.508,34,45,11.621,119,N3,L4+7,control,C1_N3_D2,89304.199
26,1.27,41.077,11.079,30,64,52.148,534,N3,L4+7,control,C1_N3_D2,89304.199
27,0.195,35,1.414,34,36,6.836,70,N3,L4+7,control,C1_N3_D2,89304.199
28,0.195,38,4.243,35,41,7.422,76,N3,L4+7,control,C1_N3_D2,89304.199
29,0.684,39.286,7.783,32,51,26.855,275,N3,L4+7,control,C1_N3_D2,89304.199
30,0.098,65,0,65,65,6.348,65,N3,L4+7,control,C1_N3_D2,89304.199
31,0.098,35,0,35,35,3.418,35,N3,L4+7,control,C1_N3_D2,89304.199
32,0.098,40,0,40,40,3.906,40,N3,L4+7,control,C1_N3_D2,89304.199
33,0.098,32,0,32,32,3.125,32,N3,L4+7,control,C1_N3_D2,89304.199
34,0.391,43.5,8.583,34,53,16.992,174,N3,L4+7,control,C1_N3_D2,89304.199
35,0.391,58.5,8.185,47,66,22.852,234,N3,L4+7,control,C1_N3_D2,89304.199
36,0.391,42.25,11.087,32,58,16.504,169,N3,L4+7,control,C1_N3_D2,89304.199
37,0.098,55,0,55,55,5.371,55,N3,L4+7,control,C1_N3_D2,89304.199
38,0.098,46,0,46,46,4.492,46,N3,L4+7,control,C1_N3_D2,89304.199
