aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.195,44,9.899,37,51,8.594,88,N1,L4+7,mannitol,M2_N1_D2,71247.754
2,0.195,37,4.243,34,40,7.227,74,N1,L4+7,mannitol,M2_N1_D2,71247.754
3,0.684,50,13.601,31,66,34.18,350,N1,L4+7,mannitol,M2_N1_D2,71247.754
4,0.195,36.5,4.95,33,40,7.129,73,N1,L4+7,mannitol,M2_N1_D2,71247.754
5,0.098,44,0,44,44,4.297,44,N1,L4+7,mannitol,M2_N1_D2,71247.754
6,0.098,46,0,46,46,4.492,46,N1,L4+7,mannitol,M2_N1_D2,71247.754
7,0.098,33,0,33,33,3.223,33,N1,L4+7,mannitol,M2_N1_D2,71247.754
8,0.098,33,0,33,33,3.223,33,N1,L4+7,mannitol,M2_N1_D2,71247.754
9,0.391,49.75,13.048,37,65,19.434,199,N1,L4+7,mannitol,M2_N1_D2,71247.754
10,0.098,35,0,35,35,3.418,35,N1,L4+7,mannitol,M2_N1_D2,71247.754
11,0.098,36,0,36,36,3.516,36,N1,L4+7,mannitol,M2_N1_D2,71247.754
12,0.195,60.5,2.121,59,62,11.816,121,N1,L4+7,mannitol,M2_N1_D2,71247.754
13,0.391,45,15.033,30,65,17.578,180,N1,L4+7,mannitol,M2_N1_D2,71247.754
14,0.195,30,0,30,30,5.859,60,N1,L4+7,mannitol,M2_N1_D2,71247.754
15,0.391,43,14.071,31,63,16.797,172,N1,L4+7,mannitol,M2_N1_D2,71247.754
16,0.293,33.667,4.041,30,38,9.863,101,N1,L4+7,mannitol,M2_N1_D2,71247.754
17,0.098,31,0,31,31,3.027,31,N1,L4+7,mannitol,M2_N1_D2,71247.754
18,0.098,34,0,34,34,3.32,34,N1,L4+7,mannitol,M2_N1_D2,71247.754
19,0.098,40,0,40,40,3.906,40,N1,L4+7,mannitol,M2_N1_D2,71247.754
20,0.098,30,0,30,30,2.93,30,N1,L4+7,mannitol,M2_N1_D2,71247.754
21,0.195,50,7.071,45,55,9.766,100,N1,L4+7,mannitol,M2_N1_D2,71247.754
22,0.098,63,0,63,63,6.152,63,N1,L4+7,mannitol,M2_N1_D2,71247.754
23,0.684,44,9.592,31,56,30.078,308,N1,L4+7,mannitol,M2_N1_D2,71247.754
24,0.098,34,0,34,34,3.32,34,N1,L4+7,mannitol,M2_N1_D2,71247.754
25,0.098,50,0,50,50,4.883,50,N1,L4+7,mannitol,M2_N1_D2,71247.754
26,0.293,38.667,4.509,34,43,11.328,116,N1,L4+7,mannitol,M2_N1_D2,71247.754
27,0.098,43,0,43,43,4.199,43,N1,L4+7,mannitol,M2_N1_D2,71247.754
