aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,33,0,33,33,3.223,33,N1,L4+7,mannitol,M1_N1_D2,72128.32
2,0.098,44,0,44,44,4.297,44,N1,L4+7,mannitol,M1_N1_D2,72128.32
3,0.098,54,0,54,54,5.273,54,N1,L4+7,mannitol,M1_N1_D2,72128.32
4,0.195,46.5,2.121,45,48,9.082,93,N1,L4+7,mannitol,M1_N1_D2,72128.32
5,0.488,37.4,5.983,30,44,18.262,187,N1,L4+7,mannitol,M1_N1_D2,72128.32
6,0.293,38.667,4.163,34,42,11.328,116,N1,L4+7,mannitol,M1_N1_D2,72128.32
7,0.195,38,7.071,33,43,7.422,76,N1,L4+7,mannitol,M1_N1_D2,72128.32
8,0.098,65,0,65,65,6.348,65,N1,L4+7,mannitol,M1_N1_D2,72128.32
9,0.098,42,0,42,42,4.102,42,N1,L4+7,mannitol,M1_N1_D2,72128.32
10,0.195,44.5,6.364,40,49,8.691,89,N1,L4+7,mannitol,M1_N1_D2,72128.32
11,0.098,46,0,46,46,4.492,46,N1,L4+7,mannitol,M1_N1_D2,72128.32
12,0.391,40.75,11.815,32,57,15.918,163,N1,L4+7,mannitol,M1_N1_D2,72128.32
13,0.098,37,0,37,37,3.613,37,N1,L4+7,mannitol,M1_N1_D2,72128.32
14,0.098,32,0,32,32,3.125,32,N1,L4+7,mannitol,M1_N1_D2,72128.32
15,0.293,44,18.248,32,65,12.891,132,N1,L4+7,mannitol,M1_N1_D2,72128.32
16,0.098,30,0,30,30,2.93,30,N1,L4+7,mannitol,M1_N1_D2,72128.32
17,0.293,42.667,11.93,33,56,12.5,128,N1,L4+7,mannitol,M1_N1_D2,72128.32
18,0.195,42,15.556,31,53,8.203,84,N1,L4+7,mannitol,M1_N1_D2,72128.32
19,0.293,60,3,57,63,17.578,180,N1,L4+7,mannitol,M1_N1_D2,72128.32
20,0.195,61.5,0.707,61,62,12.012,123,N1,L4+7,mannitol,M1_N1_D2,72128.32
21,0.293,39.667,10.97,31,52,11.621,119,N1,L4+7,mannitol,M1_N1_D2,72128.32
22,0.391,52.75,5.252,48,60,20.605,211,N1,L4+7,mannitol,M1_N1_D2,72128.32
23,0.293,34,5.196,31,40,9.961,102,N1,L4+7,mannitol,M1_N1_D2,72128.32
24,0.488,53.2,7.855,45,63,25.977,266,N1,L4+7,mannitol,M1_N1_D2,72128.32
25,0.098,42,0,42,42,4.102,42,N1,L4+7,mannitol,M1_N1_D2,72128.32
26,0.098,49,0,49,49,4.785,49,N1,L4+7,mannitol,M1_N1_D2,72128.32
27,0.391,44.25,12.659,32,62,17.285,177,N1,L4+7,mannitol,M1_N1_D2,72128.32
28,0.098,36,0,36,36,3.516,36,N1,L4+7,mannitol,M1_N1_D2,72128.32
29,0.098,54,0,54,54,5.273,54,N1,L4+7,mannitol,M1_N1_D2,72128.32
30,0.098,49,0,49,49,4.785,49,N1,L4+7,mannitol,M1_N1_D2,72128.32
31,0.293,40.333,7.506,36,49,11.816,121,N1,L4+7,mannitol,M1_N1_D2,72128.32
32,0.098,39,0,39,39,3.809,39,N1,L4+7,mannitol,M1_N1_D2,72128.32
33,0.098,46,0,46,46,4.492,46,N1,L4+7,mannitol,M1_N1_D2,72128.32
34,0.098,39,0,39,39,3.809,39,N1,L4+7,mannitol,M1_N1_D2,72128.32
35,0.293,43.333,12.583,30,55,12.695,130,N1,L4+7,mannitol,M1_N1_D2,72128.32
36,0.098,40,0,40,40,3.906,40,N1,L4+7,mannitol,M1_N1_D2,72128.32
37,0.391,52,10.551,42,65,20.312,208,N1,L4+7,mannitol,M1_N1_D2,72128.32
38,0.098,43,0,43,43,4.199,43,N1,L4+7,mannitol,M1_N1_D2,72128.32
39,0.098,53,0,53,53,5.176,53,N1,L4+7,mannitol,M1_N1_D2,72128.32
40,0.195,31,1.414,30,32,6.055,62,N1,L4+7,mannitol,M1_N1_D2,72128.32
41,0.098,51,0,51,51,4.98,51,N1,L4+7,mannitol,M1_N1_D2,72128.32
42,0.098,52,0,52,52,5.078,52,N1,L4+7,mannitol,M1_N1_D2,72128.32
43,0.098,51,0,51,51,4.98,51,N1,L4+7,mannitol,M1_N1_D2,72128.32
44,0.586,47.833,9.453,38,61,28.027,287,N1,L4+7,mannitol,M1_N1_D2,72128.32
45,0.098,44,0,44,44,4.297,44,N1,L4+7,mannitol,M1_N1_D2,72128.32
