aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.098,32,0,32,32,3.125,32,N1,L4+14,control,C2_N1_D3,88707.422
2,0.098,34,0,34,34,3.32,34,N1,L4+14,control,C2_N1_D3,88707.422
3,0.879,49.778,11.966,32,66,43.75,448,N1,L4+14,control,C2_N1_D3,88707.422
4,0.195,43.5,19.092,30,57,8.496,87,N1,L4+14,control,C2_N1_D3,88707.422
5,0.293,46.667,12.014,35,59,13.672,140,N1,L4+14,control,C2_N1_D3,88707.422
6,0.098,30,0,30,30,2.93,30,N1,L4+14,control,C2_N1_D3,88707.422
7,0.098,38,0,38,38,3.711,38,N1,L4+14,control,C2_N1_D3,88707.422
8,0.293,36.667,10.693,30,49,10.742,110,N1,L4+14,control,C2_N1_D3,88707.422
9,0.098,34,0,34,34,3.32,34,N1,L4+14,control,C2_N1_D3,88707.422
10,0.195,58.5,3.536,56,61,11.426,117,N1,L4+14,control,C2_N1_D3,88707.422
11,0.293,49,14,39,65,14.355,147,N1,L4+14,control,C2_N1_D3,88707.422
12,0.586,56,4.94,53,66,32.812,336,N1,L4+14,control,C2_N1_D3,88707.422
13,0.195,39.5,9.192,33,46,7.715,79,N1,L4+14,control,C2_N1_D3,88707.422
14,0.684,46.571,10.245,33,64,31.836,326,N1,L4+14,control,C2_N1_D3,88707.422
15,0.195,44.5,12.021,36,53,8.691,89,N1,L4+14,control,C2_N1_D3,88707.422
16,0.293,43.667,17.786,31,64,12.793,131,N1,L4+14,control,C2_N1_D3,88707.422
17,0.195,45,16.971,33,57,8.789,90,N1,L4+14,control,C2_N1_D3,88707.422
18,0.195,46,21.213,31,61,8.984,92,N1,L4+14,control,C2_N1_D3,88707.422
19,0.488,33,3.082,30,37,16.113,165,N1,L4+14,control,C2_N1_D3,88707.422
20,0.098,37,0,37,37,3.613,37,N1,L4+14,control,C2_N1_D3,88707.422
21,0.098,31,0,31,31,3.027,31,N1,L4+14,control,C2_N1_D3,88707.422
22,0.098,36,0,36,36,3.516,36,N1,L4+14,control,C2_N1_D3,88707.422
23,0.195,33.5,4.95,30,37,6.543,67,N1,L4+14,control,C2_N1_D3,88707.422
24,0.098,42,0,42,42,4.102,42,N1,L4+14,control,C2_N1_D3,88707.422
25,0.098,49,0,49,49,4.785,49,N1,L4+14,control,C2_N1_D3,88707.422
26,0.098,55,0,55,55,5.371,55,N1,L4+14,control,C2_N1_D3,88707.422
27,0.195,44,11.314,36,52,8.594,88,N1,L4+14,control,C2_N1_D3,88707.422
28,0.879,46.667,11.587,33,63,41.016,420,N1,L4+14,control,C2_N1_D3,88707.422
29,0.879,46.556,8.457,34,56,40.918,419,N1,L4+14,control,C2_N1_D3,88707.422
30,0.977,47.5,8.67,32,59,46.387,475,N1,L4+14,control,C2_N1_D3,88707.422
31,0.684,49.286,10.356,34,63,33.691,345,N1,L4+14,control,C2_N1_D3,88707.422
32,1.758,50.611,10.896,33,66,88.965,911,N1,L4+14,control,C2_N1_D3,88707.422
33,0.586,50.167,10.515,36,62,29.395,301,N1,L4+14,control,C2_N1_D3,88707.422
34,0.195,30.5,0.707,30,31,5.957,61,N1,L4+14,control,C2_N1_D3,88707.422
35,0.098,65,0,65,65,6.348,65,N1,L4+14,control,C2_N1_D3,88707.422
36,0.586,56.5,5.541,50,63,33.105,339,N1,L4+14,control,C2_N1_D3,88707.422
37,0.488,51,11.467,34,65,24.902,255,N1,L4+14,control,C2_N1_D3,88707.422
38,0.488,47.8,13.864,30,66,23.34,239,N1,L4+14,control,C2_N1_D3,88707.422
39,0.293,52.333,9.292,46,63,15.332,157,N1,L4+14,control,C2_N1_D3,88707.422
40,0.586,48.333,9.832,36,61,28.32,290,N1,L4+14,control,C2_N1_D3,88707.422
41,0.098,65,0,65,65,6.348,65,N1,L4+14,control,C2_N1_D3,88707.422
42,0.195,32.5,2.121,31,34,6.348,65,N1,L4+14,control,C2_N1_D3,88707.422
43,0.098,57,0,57,57,5.566,57,N1,L4+14,control,C2_N1_D3,88707.422
44,0.293,45.333,16.921,31,64,13.281,136,N1,L4+14,control,C2_N1_D3,88707.422
45,0.195,50,18.385,37,63,9.766,100,N1,L4+14,control,C2_N1_D3,88707.422
46,0.098,42,0,42,42,4.102,42,N1,L4+14,control,C2_N1_D3,88707.422
47,1.465,54.533,11.07,34,66,79.883,818,N1,L4+14,control,C2_N1_D3,88707.422
48,0.098,59,0,59,59,5.762,59,N1,L4+14,control,C2_N1_D3,88707.422
49,0.195,44,16.971,32,56,8.594,88,N1,L4+14,control,C2_N1_D3,88707.422
