aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,1.367,45.857,9.662,31,61,62.695,642,N2,L4+7,mannitol,M1_N2_D2,95818.066
2,0.098,39,0,39,39,3.809,39,N2,L4+7,mannitol,M1_N2_D2,95818.066
3,0.195,37,9.899,30,44,7.227,74,N2,L4+7,mannitol,M1_N2_D2,95818.066
4,0.293,34,4.583,30,39,9.961,102,N2,L4+7,mannitol,M1_N2_D2,95818.066
5,0.098,39,0,39,39,3.809,39,N2,L4+7,mannitol,M1_N2_D2,95818.066
6,0.098,45,0,45,45,4.395,45,N2,L4+7,mannitol,M1_N2_D2,95818.066
7,0.098,55,0,55,55,5.371,55,N2,L4+7,mannitol,M1_N2_D2,95818.066
8,1.465,47.933,11.448,32,63,70.215,719,N2,L4+7,mannitol,M1_N2_D2,95818.066
9,2.051,45.619,9.489,32,63,93.555,958,N2,L4+7,mannitol,M1_N2_D2,95818.066
10,0.195,47,18.385,34,60,9.18,94,N2,L4+7,mannitol,M1_N2_D2,95818.066
11,0.098,33,0,33,33,3.223,33,N2,L4+7,mannitol,M1_N2_D2,95818.066
12,0.391,47,9.416,35,58,18.359,188,N2,L4+7,mannitol,M1_N2_D2,95818.066
13,0.684,41.143,9.805,30,53,28.125,288,N2,L4+7,mannitol,M1_N2_D2,95818.066
14,0.684,43.714,11.996,30,57,29.883,306,N2,L4+7,mannitol,M1_N2_D2,95818.066
15,0.098,30,0,30,30,2.93,30,N2,L4+7,mannitol,M1_N2_D2,95818.066
16,0.098,39,0,39,39,3.809,39,N2,L4+7,mannitol,M1_N2_D2,95818.066
17,0.195,45,16.971,33,57,8.789,90,N2,L4+7,mannitol,M1_N2_D2,95818.066
18,0.488,49.2,12.276,34,62,24.023,246,N2,L4+7,mannitol,M1_N2_D2,95818.066
19,0.293,40.667,12.423,33,55,11.914,122,N2,L4+7,mannitol,M1_N2_D2,95818.066
20,0.684,42.857,12.812,32,63,29.297,300,N2,L4+7,mannitol,M1_N2_D2,95818.066
21,0.195,34.5,4.95,31,38,6.738,69,N2,L4+7,mannitol,M1_N2_D2,95818.066
22,0.977,43.1,10.929,32,62,42.09,431,N2,L4+7,mannitol,M1_N2_D2,95818.066
23,0.879,45.889,11.285,31,64,40.332,413,N2,L4+7,mannitol,M1_N2_D2,95818.066
24,0.098,34,0,34,34,3.32,34,N2,L4+7,mannitol,M1_N2_D2,95818.066
25,0.195,32,0,32,32,6.25,64,N2,L4+7,mannitol,M1_N2_D2,95818.066
26,0.293,37.667,3.512,34,41,11.035,113,N2,L4+7,mannitol,M1_N2_D2,95818.066
27,0.195,30.5,0.707,30,31,5.957,61,N2,L4+7,mannitol,M1_N2_D2,95818.066
28,0.586,44.5,11.845,33,64,26.074,267,N2,L4+7,mannitol,M1_N2_D2,95818.066
29,0.293,43.333,9.452,36,54,12.695,130,N2,L4+7,mannitol,M1_N2_D2,95818.066
30,0.195,47,19.799,33,61,9.18,94,N2,L4+7,mannitol,M1_N2_D2,95818.066
31,0.781,52,10.057,39,65,40.625,416,N2,L4+7,mannitol,M1_N2_D2,95818.066
32,0.488,44.2,8.319,34,56,21.582,221,N2,L4+7,mannitol,M1_N2_D2,95818.066
33,0.684,48.714,12.162,32,64,33.301,341,N2,L4+7,mannitol,M1_N2_D2,95818.066
34,0.098,60,0,60,60,5.859,60,N2,L4+7,mannitol,M1_N2_D2,95818.066
35,0.293,33.333,2.309,32,36,9.766,100,N2,L4+7,mannitol,M1_N2_D2,95818.066
36,0.195,34.5,6.364,30,39,6.738,69,N2,L4+7,mannitol,M1_N2_D2,95818.066
37,0.098,37,0,37,37,3.613,37,N2,L4+7,mannitol,M1_N2_D2,95818.066
38,0.098,32,0,32,32,3.125,32,N2,L4+7,mannitol,M1_N2_D2,95818.066
39,0.098,49,0,49,49,4.785,49,N2,L4+7,mannitol,M1_N2_D2,95818.066
40,0.098,32,0,32,32,3.125,32,N2,L4+7,mannitol,M1_N2_D2,95818.066
41,0.098,62,0,62,62,6.055,62,N2,L4+7,mannitol,M1_N2_D2,95818.066
42,0.098,35,0,35,35,3.418,35,N2,L4+7,mannitol,M1_N2_D2,95818.066
43,0.195,35.5,4.95,32,39,6.934,71,N2,L4+7,mannitol,M1_N2_D2,95818.066
44,0.684,48,12.987,30,62,32.812,336,N2,L4+7,mannitol,M1_N2_D2,95818.066
45,2.539,48.385,10.179,32,66,122.852,1258,N2,L4+7,mannitol,M1_N2_D2,95818.066
46,0.195,36.5,0.707,36,37,7.129,73,N2,L4+7,mannitol,M1_N2_D2,95818.066
47,0.586,51.333,12.258,31,62,30.078,308,N2,L4+7,mannitol,M1_N2_D2,95818.066
48,0.293,40.333,4.619,35,43,11.816,121,N2,L4+7,mannitol,M1_N2_D2,95818.066
49,0.293,49.333,13.279,34,57,14.453,148,N2,L4+7,mannitol,M1_N2_D2,95818.066
50,0.098,54,0,54,54,5.273,54,N2,L4+7,mannitol,M1_N2_D2,95818.066
51,0.098,33,0,33,33,3.223,33,N2,L4+7,mannitol,M1_N2_D2,95818.066
52,0.293,44.333,11.015,37,57,12.988,133,N2,L4+7,mannitol,M1_N2_D2,95818.066
53,0.195,52.5,13.435,43,62,10.254,105,N2,L4+7,mannitol,M1_N2_D2,95818.066
54,0.488,43.2,11.819,30,59,21.094,216,N2,L4+7,mannitol,M1_N2_D2,95818.066
