aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.586,40.5,11.743,32,63,23.73,243,N1,L4+14,mannitol,M3_N1_D3,84046.289
2,0.391,44.75,6.021,37,50,17.48,179,N1,L4+14,mannitol,M3_N1_D3,84046.289
3,1.27,43.077,9.508,30,62,54.688,560,N1,L4+14,mannitol,M3_N1_D3,84046.289
4,0.098,53,0,53,53,5.176,53,N1,L4+14,mannitol,M3_N1_D3,84046.289
5,0.293,44,5.568,38,49,12.891,132,N1,L4+14,mannitol,M3_N1_D3,84046.289
6,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
7,0.098,33,0,33,33,3.223,33,N1,L4+14,mannitol,M3_N1_D3,84046.289
8,0.098,33,0,33,33,3.223,33,N1,L4+14,mannitol,M3_N1_D3,84046.289
9,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
10,0.098,33,0,33,33,3.223,33,N1,L4+14,mannitol,M3_N1_D3,84046.289
11,0.098,33,0,33,33,3.223,33,N1,L4+14,mannitol,M3_N1_D3,84046.289
12,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
13,0.098,31,0,31,31,3.027,31,N1,L4+14,mannitol,M3_N1_D3,84046.289
14,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
15,0.195,30.5,0.707,30,31,5.957,61,N1,L4+14,mannitol,M3_N1_D3,84046.289
16,0.781,33.75,3.37,30,38,26.367,270,N1,L4+14,mannitol,M3_N1_D3,84046.289
17,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
18,0.391,31,2,30,34,12.109,124,N1,L4+14,mannitol,M3_N1_D3,84046.289
19,0.098,30,0,30,30,2.93,30,N1,L4+14,mannitol,M3_N1_D3,84046.289
