aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.684,39.571,7.7,30,48,27.051,277,N3,L4+14,control,C2_N3_D3,83491.113
2,0.195,37.5,2.121,36,39,7.324,75,N3,L4+14,control,C2_N3_D3,83491.113
3,0.195,32.5,0.707,32,33,6.348,65,N3,L4+14,control,C2_N3_D3,83491.113
4,1.074,42.364,7.379,34,55,45.508,466,N3,L4+14,control,C2_N3_D3,83491.113
5,0.684,38.143,3.805,34,43,26.074,267,N3,L4+14,control,C2_N3_D3,83491.113
6,0.098,33,0,33,33,3.223,33,N3,L4+14,control,C2_N3_D3,83491.113
7,0.195,35,4.243,32,38,6.836,70,N3,L4+14,control,C2_N3_D3,83491.113
8,0.977,40.3,8.314,32,55,39.355,403,N3,L4+14,control,C2_N3_D3,83491.113
9,0.098,52,0,52,52,5.078,52,N3,L4+14,control,C2_N3_D3,83491.113
10,0.098,38,0,38,38,3.711,38,N3,L4+14,control,C2_N3_D3,83491.113
11,0.195,34,1.414,33,35,6.641,68,N3,L4+14,control,C2_N3_D3,83491.113
12,0.391,39,11.86,30,55,15.234,156,N3,L4+14,control,C2_N3_D3,83491.113
13,0.098,46,0,46,46,4.492,46,N3,L4+14,control,C2_N3_D3,83491.113
14,0.098,41,0,41,41,4.004,41,N3,L4+14,control,C2_N3_D3,83491.113
15,0.098,37,0,37,37,3.613,37,N3,L4+14,control,C2_N3_D3,83491.113
16,0.098,32,0,32,32,3.125,32,N3,L4+14,control,C2_N3_D3,83491.113
17,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
18,0.391,44.25,5.852,38,51,17.285,177,N3,L4+14,control,C2_N3_D3,83491.113
19,0.195,31,1.414,30,32,6.055,62,N3,L4+14,control,C2_N3_D3,83491.113
20,0.684,35.571,4.962,30,44,24.316,249,N3,L4+14,control,C2_N3_D3,83491.113
21,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
22,0.391,34.75,2.986,31,38,13.574,139,N3,L4+14,control,C2_N3_D3,83491.113
23,0.195,38.5,0.707,38,39,7.52,77,N3,L4+14,control,C2_N3_D3,83491.113
24,0.098,48,0,48,48,4.688,48,N3,L4+14,control,C2_N3_D3,83491.113
25,2.441,36.8,6.621,30,51,89.844,920,N3,L4+14,control,C2_N3_D3,83491.113
26,0.391,39,7.874,32,50,15.234,156,N3,L4+14,control,C2_N3_D3,83491.113
27,0.098,41,0,41,41,4.004,41,N3,L4+14,control,C2_N3_D3,83491.113
28,0.391,47.25,2.5,44,50,18.457,189,N3,L4+14,control,C2_N3_D3,83491.113
29,0.098,34,0,34,34,3.32,34,N3,L4+14,control,C2_N3_D3,83491.113
30,0.684,38.571,6.876,32,50,26.367,270,N3,L4+14,control,C2_N3_D3,83491.113
31,0.293,39,6,33,45,11.426,117,N3,L4+14,control,C2_N3_D3,83491.113
32,0.098,38,0,38,38,3.711,38,N3,L4+14,control,C2_N3_D3,83491.113
33,0.098,34,0,34,34,3.32,34,N3,L4+14,control,C2_N3_D3,83491.113
34,0.586,39.833,9.642,30,52,23.34,239,N3,L4+14,control,C2_N3_D3,83491.113
35,0.391,37.5,4.796,32,42,14.648,150,N3,L4+14,control,C2_N3_D3,83491.113
36,0.391,35.75,4.031,30,39,13.965,143,N3,L4+14,control,C2_N3_D3,83491.113
37,1.074,40.818,7.373,31,53,43.848,449,N3,L4+14,control,C2_N3_D3,83491.113
38,0.391,36.5,10.376,30,52,14.258,146,N3,L4+14,control,C2_N3_D3,83491.113
39,0.098,33,0,33,33,3.223,33,N3,L4+14,control,C2_N3_D3,83491.113
40,0.195,36.5,2.121,35,38,7.129,73,N3,L4+14,control,C2_N3_D3,83491.113
41,0.195,44.5,4.95,41,48,8.691,89,N3,L4+14,control,C2_N3_D3,83491.113
42,0.195,38.5,12.021,30,47,7.52,77,N3,L4+14,control,C2_N3_D3,83491.113
43,0.391,34.75,5.123,30,42,13.574,139,N3,L4+14,control,C2_N3_D3,83491.113
44,0.098,33,0,33,33,3.223,33,N3,L4+14,control,C2_N3_D3,83491.113
45,1.465,42.4,8.096,32,55,62.109,636,N3,L4+14,control,C2_N3_D3,83491.113
46,0.195,37.5,3.536,35,40,7.324,75,N3,L4+14,control,C2_N3_D3,83491.113
47,0.293,46.333,13.317,31,55,13.574,139,N3,L4+14,control,C2_N3_D3,83491.113
48,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
49,0.293,40,10,30,50,11.719,120,N3,L4+14,control,C2_N3_D3,83491.113
50,0.098,54,0,54,54,5.273,54,N3,L4+14,control,C2_N3_D3,83491.113
51,0.098,45,0,45,45,4.395,45,N3,L4+14,control,C2_N3_D3,83491.113
52,0.098,34,0,34,34,3.32,34,N3,L4+14,control,C2_N3_D3,83491.113
53,0.098,31,0,31,31,3.027,31,N3,L4+14,control,C2_N3_D3,83491.113
54,0.684,43,8.944,33,53,29.395,301,N3,L4+14,control,C2_N3_D3,83491.113
55,0.195,40.5,2.121,39,42,7.91,81,N3,L4+14,control,C2_N3_D3,83491.113
56,0.293,43.333,11.59,31,54,12.695,130,N3,L4+14,control,C2_N3_D3,83491.113
57,0.195,40,12.728,31,49,7.812,80,N3,L4+14,control,C2_N3_D3,83491.113
58,0.098,41,0,41,41,4.004,41,N3,L4+14,control,C2_N3_D3,83491.113
59,0.488,37.8,8.289,31,52,18.457,189,N3,L4+14,control,C2_N3_D3,83491.113
60,0.195,40.5,9.192,34,47,7.91,81,N3,L4+14,control,C2_N3_D3,83491.113
61,0.098,40,0,40,40,3.906,40,N3,L4+14,control,C2_N3_D3,83491.113
62,0.098,45,0,45,45,4.395,45,N3,L4+14,control,C2_N3_D3,83491.113
63,0.488,37.8,2.775,35,41,18.457,189,N3,L4+14,control,C2_N3_D3,83491.113
64,0.195,43.5,7.778,38,49,8.496,87,N3,L4+14,control,C2_N3_D3,83491.113
65,0.098,37,0,37,37,3.613,37,N3,L4+14,control,C2_N3_D3,83491.113
66,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
67,0.098,45,0,45,45,4.395,45,N3,L4+14,control,C2_N3_D3,83491.113
68,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
69,0.195,39.5,4.95,36,43,7.715,79,N3,L4+14,control,C2_N3_D3,83491.113
70,0.391,43,6.218,34,48,16.797,172,N3,L4+14,control,C2_N3_D3,83491.113
71,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
72,0.098,38,0,38,38,3.711,38,N3,L4+14,control,C2_N3_D3,83491.113
73,0.098,51,0,51,51,4.98,51,N3,L4+14,control,C2_N3_D3,83491.113
74,1.562,42.25,8.12,30,54,66.016,676,N3,L4+14,control,C2_N3_D3,83491.113
75,0.098,45,0,45,45,4.395,45,N3,L4+14,control,C2_N3_D3,83491.113
76,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
77,0.293,38.667,9.018,30,48,11.328,116,N3,L4+14,control,C2_N3_D3,83491.113
78,0.098,48,0,48,48,4.688,48,N3,L4+14,control,C2_N3_D3,83491.113
79,0.195,44.5,10.607,37,52,8.691,89,N3,L4+14,control,C2_N3_D3,83491.113
80,0.684,41.571,8.997,30,55,28.418,291,N3,L4+14,control,C2_N3_D3,83491.113
81,0.098,34,0,34,34,3.32,34,N3,L4+14,control,C2_N3_D3,83491.113
82,0.098,37,0,37,37,3.613,37,N3,L4+14,control,C2_N3_D3,83491.113
83,0.098,49,0,49,49,4.785,49,N3,L4+14,control,C2_N3_D3,83491.113
84,0.391,36,5.354,33,44,14.062,144,N3,L4+14,control,C2_N3_D3,83491.113
85,0.195,34.5,3.536,32,37,6.738,69,N3,L4+14,control,C2_N3_D3,83491.113
86,0.098,48,0,48,48,4.688,48,N3,L4+14,control,C2_N3_D3,83491.113
87,0.391,37.75,6.449,30,44,14.746,151,N3,L4+14,control,C2_N3_D3,83491.113
88,0.586,46,4.195,38,49,26.953,276,N3,L4+14,control,C2_N3_D3,83491.113
89,0.293,32,1,31,33,9.375,96,N3,L4+14,control,C2_N3_D3,83491.113
90,0.391,39,9.274,30,47,15.234,156,N3,L4+14,control,C2_N3_D3,83491.113
91,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
92,0.098,39,0,39,39,3.809,39,N3,L4+14,control,C2_N3_D3,83491.113
93,0.195,37,1.414,36,38,7.227,74,N3,L4+14,control,C2_N3_D3,83491.113
94,0.098,41,0,41,41,4.004,41,N3,L4+14,control,C2_N3_D3,83491.113
95,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
96,0.195,46,8.485,40,52,8.984,92,N3,L4+14,control,C2_N3_D3,83491.113
97,0.293,34.333,3.786,30,37,10.059,103,N3,L4+14,control,C2_N3_D3,83491.113
98,0.488,41.2,6.611,31,49,20.117,206,N3,L4+14,control,C2_N3_D3,83491.113
99,0.098,54,0,54,54,5.273,54,N3,L4+14,control,C2_N3_D3,83491.113
100,0.293,46,6,40,52,13.477,138,N3,L4+14,control,C2_N3_D3,83491.113
101,0.684,43.286,8.538,30,55,29.59,303,N3,L4+14,control,C2_N3_D3,83491.113
102,0.586,41,7.321,32,53,24.023,246,N3,L4+14,control,C2_N3_D3,83491.113
103,0.684,36.429,5.827,30,46,24.902,255,N3,L4+14,control,C2_N3_D3,83491.113
104,0.293,44.667,7.638,38,53,13.086,134,N3,L4+14,control,C2_N3_D3,83491.113
105,0.098,41,0,41,41,4.004,41,N3,L4+14,control,C2_N3_D3,83491.113
106,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
107,0.391,39,4.69,34,45,15.234,156,N3,L4+14,control,C2_N3_D3,83491.113
108,0.195,45,1.414,44,46,8.789,90,N3,L4+14,control,C2_N3_D3,83491.113
109,0.195,47.5,9.192,41,54,9.277,95,N3,L4+14,control,C2_N3_D3,83491.113
110,0.098,31,0,31,31,3.027,31,N3,L4+14,control,C2_N3_D3,83491.113
111,0.293,33,2.646,31,36,9.668,99,N3,L4+14,control,C2_N3_D3,83491.113
112,0.195,40.5,0.707,40,41,7.91,81,N3,L4+14,control,C2_N3_D3,83491.113
113,0.098,49,0,49,49,4.785,49,N3,L4+14,control,C2_N3_D3,83491.113
114,0.488,33.6,2.074,31,36,16.406,168,N3,L4+14,control,C2_N3_D3,83491.113
115,0.098,31,0,31,31,3.027,31,N3,L4+14,control,C2_N3_D3,83491.113
116,0.488,42.4,9.659,30,51,20.703,212,N3,L4+14,control,C2_N3_D3,83491.113
117,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
118,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
119,0.195,39.5,2.121,38,41,7.715,79,N3,L4+14,control,C2_N3_D3,83491.113
120,0.098,36,0,36,36,3.516,36,N3,L4+14,control,C2_N3_D3,83491.113
121,1.27,41.769,8.447,32,55,53.027,543,N3,L4+14,control,C2_N3_D3,83491.113
122,0.391,34.75,3.775,31,38,13.574,139,N3,L4+14,control,C2_N3_D3,83491.113
123,0.195,42,16.971,30,54,8.203,84,N3,L4+14,control,C2_N3_D3,83491.113
124,0.195,30.5,0.707,30,31,5.957,61,N3,L4+14,control,C2_N3_D3,83491.113
125,0.391,42,9.018,31,53,16.406,168,N3,L4+14,control,C2_N3_D3,83491.113
126,0.195,30.5,0.707,30,31,5.957,61,N3,L4+14,control,C2_N3_D3,83491.113
127,0.488,41.2,4.147,36,46,20.117,206,N3,L4+14,control,C2_N3_D3,83491.113
128,0.293,48.333,2.887,45,50,14.16,145,N3,L4+14,control,C2_N3_D3,83491.113
129,0.391,33.25,2.062,31,35,12.988,133,N3,L4+14,control,C2_N3_D3,83491.113
130,0.098,32,0,32,32,3.125,32,N3,L4+14,control,C2_N3_D3,83491.113
131,0.391,35.75,2.63,32,38,13.965,143,N3,L4+14,control,C2_N3_D3,83491.113
132,0.098,33,0,33,33,3.223,33,N3,L4+14,control,C2_N3_D3,83491.113
133,0.098,33,0,33,33,3.223,33,N3,L4+14,control,C2_N3_D3,83491.113
134,0.879,41.778,6.261,30,50,36.719,376,N3,L4+14,control,C2_N3_D3,83491.113
135,0.391,47,5.598,40,52,18.359,188,N3,L4+14,control,C2_N3_D3,83491.113
136,0.293,40.667,10.017,31,51,11.914,122,N3,L4+14,control,C2_N3_D3,83491.113
137,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
138,0.391,46.25,10.046,33,55,18.066,185,N3,L4+14,control,C2_N3_D3,83491.113
139,0.488,37,4.583,32,44,18.066,185,N3,L4+14,control,C2_N3_D3,83491.113
140,0.098,52,0,52,52,5.078,52,N3,L4+14,control,C2_N3_D3,83491.113
141,0.195,38.5,7.778,33,44,7.52,77,N3,L4+14,control,C2_N3_D3,83491.113
142,0.098,49,0,49,49,4.785,49,N3,L4+14,control,C2_N3_D3,83491.113
143,0.195,36,7.071,31,41,7.031,72,N3,L4+14,control,C2_N3_D3,83491.113
144,0.488,40.8,9.338,31,51,19.922,204,N3,L4+14,control,C2_N3_D3,83491.113
145,0.098,34,0,34,34,3.32,34,N3,L4+14,control,C2_N3_D3,83491.113
146,0.098,51,0,51,51,4.98,51,N3,L4+14,control,C2_N3_D3,83491.113
147,0.195,54.5,0.707,54,55,10.645,109,N3,L4+14,control,C2_N3_D3,83491.113
148,0.098,51,0,51,51,4.98,51,N3,L4+14,control,C2_N3_D3,83491.113
149,0.391,35.75,5.679,32,44,13.965,143,N3,L4+14,control,C2_N3_D3,83491.113
150,0.098,46,0,46,46,4.492,46,N3,L4+14,control,C2_N3_D3,83491.113
151,0.098,47,0,47,47,4.59,47,N3,L4+14,control,C2_N3_D3,83491.113
152,0.098,47,0,47,47,4.59,47,N3,L4+14,control,C2_N3_D3,83491.113
153,0.098,30,0,30,30,2.93,30,N3,L4+14,control,C2_N3_D3,83491.113
154,0.293,38.667,11.547,32,52,11.328,116,N3,L4+14,control,C2_N3_D3,83491.113
155,0.098,55,0,55,55,5.371,55,N3,L4+14,control,C2_N3_D3,83491.113
