aggr_num,aggr_area,Mean,StdDev,Min,Max,IntDen,RawIntDen,N,age,treatment,wormID,worm_area
1,0.391,40.75,4.573,36,46,15.918,163,N2,L4+1,control,C1_N2_D1,45085.547
2,0.391,46.75,9.287,34,56,18.262,187,N2,L4+1,control,C1_N2_D1,45085.547
3,0.293,36.333,3.215,34,40,10.645,109,N2,L4+1,control,C1_N2_D1,45085.547
4,0.195,48.5,9.192,42,55,9.473,97,N2,L4+1,control,C1_N2_D1,45085.547
5,0.195,49,19.799,35,63,9.57,98,N2,L4+1,control,C1_N2_D1,45085.547
6,0.684,46.857,9.082,30,58,32.031,328,N2,L4+1,control,C1_N2_D1,45085.547
7,0.293,54,14.933,37,65,15.82,162,N2,L4+1,control,C1_N2_D1,45085.547
8,0.293,43,4.359,38,46,12.598,129,N2,L4+1,control,C1_N2_D1,45085.547
9,0.195,36,7.071,31,41,7.031,72,N2,L4+1,control,C1_N2_D1,45085.547
10,0.098,33,0,33,33,3.223,33,N2,L4+1,control,C1_N2_D1,45085.547
11,0.391,41.75,11.354,30,55,16.309,167,N2,L4+1,control,C1_N2_D1,45085.547
12,0.293,36.333,3.512,33,40,10.645,109,N2,L4+1,control,C1_N2_D1,45085.547
13,0.488,54,8.337,45,66,26.367,270,N2,L4+1,control,C1_N2_D1,45085.547
14,0.391,45.25,13.745,31,58,17.676,181,N2,L4+1,control,C1_N2_D1,45085.547
15,0.293,47.333,10.504,37,58,13.867,142,N2,L4+1,control,C1_N2_D1,45085.547
16,0.195,32,2.828,30,34,6.25,64,N2,L4+1,control,C1_N2_D1,45085.547
17,0.098,33,0,33,33,3.223,33,N2,L4+1,control,C1_N2_D1,45085.547
18,0.195,35.5,0.707,35,36,6.934,71,N2,L4+1,control,C1_N2_D1,45085.547
19,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
20,0.098,40,0,40,40,3.906,40,N2,L4+1,control,C1_N2_D1,45085.547
21,0.391,41.25,10.436,30,55,16.113,165,N2,L4+1,control,C1_N2_D1,45085.547
22,0.195,35,2.828,33,37,6.836,70,N2,L4+1,control,C1_N2_D1,45085.547
23,0.195,40.5,14.849,30,51,7.91,81,N2,L4+1,control,C1_N2_D1,45085.547
24,0.195,40,12.728,31,49,7.812,80,N2,L4+1,control,C1_N2_D1,45085.547
25,0.488,35,8.456,30,50,17.09,175,N2,L4+1,control,C1_N2_D1,45085.547
26,0.781,49.375,12.141,35,66,38.574,395,N2,L4+1,control,C1_N2_D1,45085.547
27,0.098,36,0,36,36,3.516,36,N2,L4+1,control,C1_N2_D1,45085.547
28,0.098,35,0,35,35,3.418,35,N2,L4+1,control,C1_N2_D1,45085.547
29,0.488,46.6,10.9,33,61,22.754,233,N2,L4+1,control,C1_N2_D1,45085.547
30,0.098,42,0,42,42,4.102,42,N2,L4+1,control,C1_N2_D1,45085.547
31,0.098,36,0,36,36,3.516,36,N2,L4+1,control,C1_N2_D1,45085.547
32,0.293,47.333,13.503,34,61,13.867,142,N2,L4+1,control,C1_N2_D1,45085.547
33,0.488,38,8.307,30,47,18.555,190,N2,L4+1,control,C1_N2_D1,45085.547
34,0.293,39,4,35,43,11.426,117,N2,L4+1,control,C1_N2_D1,45085.547
35,0.195,33,2.828,31,35,6.445,66,N2,L4+1,control,C1_N2_D1,45085.547
36,0.098,38,0,38,38,3.711,38,N2,L4+1,control,C1_N2_D1,45085.547
37,0.195,34,1.414,33,35,6.641,68,N2,L4+1,control,C1_N2_D1,45085.547
38,0.195,35,2.828,33,37,6.836,70,N2,L4+1,control,C1_N2_D1,45085.547
39,0.293,35.333,3.055,32,38,10.352,106,N2,L4+1,control,C1_N2_D1,45085.547
40,0.391,37.5,3.697,33,41,14.648,150,N2,L4+1,control,C1_N2_D1,45085.547
41,0.195,36.5,2.121,35,38,7.129,73,N2,L4+1,control,C1_N2_D1,45085.547
42,0.293,40,6.557,33,46,11.719,120,N2,L4+1,control,C1_N2_D1,45085.547
43,0.098,44,0,44,44,4.297,44,N2,L4+1,control,C1_N2_D1,45085.547
44,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C1_N2_D1,45085.547
45,0.977,43.9,11.949,30,63,42.871,439,N2,L4+1,control,C1_N2_D1,45085.547
46,0.391,37.75,8.057,30,49,14.746,151,N2,L4+1,control,C1_N2_D1,45085.547
47,0.293,50,16.523,33,66,14.648,150,N2,L4+1,control,C1_N2_D1,45085.547
48,0.195,47.5,0.707,47,48,9.277,95,N2,L4+1,control,C1_N2_D1,45085.547
49,0.781,38.875,8.079,31,56,30.371,311,N2,L4+1,control,C1_N2_D1,45085.547
50,0.098,33,0,33,33,3.223,33,N2,L4+1,control,C1_N2_D1,45085.547
51,0.098,44,0,44,44,4.297,44,N2,L4+1,control,C1_N2_D1,45085.547
52,0.098,34,0,34,34,3.32,34,N2,L4+1,control,C1_N2_D1,45085.547
53,1.074,47.909,10.587,30,65,51.465,527,N2,L4+1,control,C1_N2_D1,45085.547
54,0.098,37,0,37,37,3.613,37,N2,L4+1,control,C1_N2_D1,45085.547
55,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
56,0.293,52.667,17.214,33,65,15.43,158,N2,L4+1,control,C1_N2_D1,45085.547
57,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C1_N2_D1,45085.547
58,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C1_N2_D1,45085.547
59,0.098,33,0,33,33,3.223,33,N2,L4+1,control,C1_N2_D1,45085.547
60,0.293,40,8.185,31,47,11.719,120,N2,L4+1,control,C1_N2_D1,45085.547
61,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
62,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C1_N2_D1,45085.547
63,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C1_N2_D1,45085.547
64,0.195,54,1.414,53,55,10.547,108,N2,L4+1,control,C1_N2_D1,45085.547
65,0.195,42,16.971,30,54,8.203,84,N2,L4+1,control,C1_N2_D1,45085.547
66,0.195,65.5,0.707,65,66,12.793,131,N2,L4+1,control,C1_N2_D1,45085.547
67,0.293,62.667,0.577,62,63,18.359,188,N2,L4+1,control,C1_N2_D1,45085.547
68,0.098,64,0,64,64,6.25,64,N2,L4+1,control,C1_N2_D1,45085.547
69,0.098,41,0,41,41,4.004,41,N2,L4+1,control,C1_N2_D1,45085.547
70,0.195,38.5,2.121,37,40,7.52,77,N2,L4+1,control,C1_N2_D1,45085.547
71,0.195,51.5,3.536,49,54,10.059,103,N2,L4+1,control,C1_N2_D1,45085.547
72,0.293,47.333,14.012,33,61,13.867,142,N2,L4+1,control,C1_N2_D1,45085.547
73,0.098,39,0,39,39,3.809,39,N2,L4+1,control,C1_N2_D1,45085.547
74,0.391,33.75,2.872,30,36,13.184,135,N2,L4+1,control,C1_N2_D1,45085.547
75,0.098,33,0,33,33,3.223,33,N2,L4+1,control,C1_N2_D1,45085.547
76,0.391,45.75,5.439,40,53,17.871,183,N2,L4+1,control,C1_N2_D1,45085.547
77,0.098,41,0,41,41,4.004,41,N2,L4+1,control,C1_N2_D1,45085.547
78,0.293,39.333,5.774,36,46,11.523,118,N2,L4+1,control,C1_N2_D1,45085.547
79,0.684,37.143,3.716,32,44,25.391,260,N2,L4+1,control,C1_N2_D1,45085.547
80,0.195,32.5,3.536,30,35,6.348,65,N2,L4+1,control,C1_N2_D1,45085.547
81,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
82,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C1_N2_D1,45085.547
83,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C1_N2_D1,45085.547
84,0.098,54,0,54,54,5.273,54,N2,L4+1,control,C1_N2_D1,45085.547
85,0.098,41,0,41,41,4.004,41,N2,L4+1,control,C1_N2_D1,45085.547
86,0.098,64,0,64,64,6.25,64,N2,L4+1,control,C1_N2_D1,45085.547
87,0.293,64,2,62,66,18.75,192,N2,L4+1,control,C1_N2_D1,45085.547
88,0.586,47.333,12.754,31,64,27.734,284,N2,L4+1,control,C1_N2_D1,45085.547
89,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C1_N2_D1,45085.547
90,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C1_N2_D1,45085.547
91,0.293,64,2,62,66,18.75,192,N2,L4+1,control,C1_N2_D1,45085.547
92,0.098,66,0,66,66,6.445,66,N2,L4+1,control,C1_N2_D1,45085.547
93,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
94,0.488,32.2,2.95,30,37,15.723,161,N2,L4+1,control,C1_N2_D1,45085.547
95,0.684,61.571,3.259,56,66,42.09,431,N2,L4+1,control,C1_N2_D1,45085.547
96,0.098,57,0,57,57,5.566,57,N2,L4+1,control,C1_N2_D1,45085.547
97,0.098,65,0,65,65,6.348,65,N2,L4+1,control,C1_N2_D1,45085.547
98,0.098,57,0,57,57,5.566,57,N2,L4+1,control,C1_N2_D1,45085.547
99,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
100,0.098,60,0,60,60,5.859,60,N2,L4+1,control,C1_N2_D1,45085.547
101,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C1_N2_D1,45085.547
102,0.488,62.2,2.28,60,65,30.371,311,N2,L4+1,control,C1_N2_D1,45085.547
103,0.098,31,0,31,31,3.027,31,N2,L4+1,control,C1_N2_D1,45085.547
104,0.488,48.6,15.274,31,62,23.73,243,N2,L4+1,control,C1_N2_D1,45085.547
105,0.098,32,0,32,32,3.125,32,N2,L4+1,control,C1_N2_D1,45085.547
106,0.195,46,11.314,38,54,8.984,92,N2,L4+1,control,C1_N2_D1,45085.547
107,1.172,43.167,14.115,30,65,50.586,518,N2,L4+1,control,C1_N2_D1,45085.547
108,0.195,51,12.728,42,60,9.961,102,N2,L4+1,control,C1_N2_D1,45085.547
109,0.098,30,0,30,30,2.93,30,N2,L4+1,control,C1_N2_D1,45085.547
110,1.953,42.75,9.124,30,58,83.496,855,N2,L4+1,control,C1_N2_D1,45085.547
111,0.391,64,2.16,61,66,25,256,N2,L4+1,control,C1_N2_D1,45085.547
